generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T16:05:08.495000Z,2,200,10,10,6,0,10.0,0.8873335347848955,20,0,20,0.0,0.0076,0.992,1.0,0.0,1.3e3,1.0,0.8823302375478017,0.305,%{cpu_percent: 45.0; memory_mb: 512},998000,2000,3,3,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T16:05:08.524000Z,2,200,10,10,6,0,10.0,0.8461241166416754,20,0,20,0.0,0.0085,0.992,1.0,0.0,1.3e3,1.0,0.8037881113266079,0.31,%{cpu_percent: 45.0; memory_mb: 512},996000,2000,3,3,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T16:05:08.535000Z,8,200,10,10,6,0,10.0,0.814699826223956,20,0,20,0.0,0.0064,0.994,1.0,0.0,1.3e3,1.0,0.829616934860912,0.315,%{cpu_percent: 45.0; memory_mb: 512},994000,2000,3,4,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T16:05:08.600000Z,25,200,10,10,6,0,10.0,0.8750664582754428,20,0,20,0.0,0.0062,0.994,1.0,0.0,1.3e3,1.0,0.855193285715853,0.32,%{cpu_percent: 45.0; memory_mb: 512},992000,2000,3,7,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T16:05:08.639000Z,13,200,10,10,6,0,10.0,0.8096246807885054,20,0,20,0.0,0.0083,0.992,1.0,0.0,1.3e3,1.0,0.7564675710122638,0.325,%{cpu_percent: 45.0; memory_mb: 512},990000,2000,3,7,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T16:05:08.686000Z,2,200,10,10,6,0,10.0,0.8712218749738918,20,0,20,0.0,0.0092,0.991,1.0,0.0,1.3e3,1.0,0.7527044929558684,0.33,%{cpu_percent: 45.0; memory_mb: 512},988000,2000,3,6,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T16:05:08.727000Z,12,200,10,10,6,0,10.0,0.9097454576946492,20,0,20,0.0,0.0084,0.992,1.0,0.0,1.3e3,1.0,0.8424073568710484,0.335,%{cpu_percent: 45.0; memory_mb: 512},986000,2000,3,7,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T16:05:08.753000Z,9,200,10,10,6,0,10.0,0.8276008133683069,20,0,20,0.0,0.0075,0.993,1.0,0.0,1.3e3,1.0,0.8608673215136734,0.34,%{cpu_percent: 45.0; memory_mb: 512},984000,2000,3,4,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T16:05:08.761000Z,2,200,10,10,6,0,10.0,0.8827955545968327,20,0,20,0.0,0.0084,0.992,1.0,0.0,1.3e3,1.0,0.7425943491456661,0.345,%{cpu_percent: 45.0; memory_mb: 512},982000,2000,3,4,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T16:05:08.845000Z,12,200,10,10,6,0,10.0,0.9262743989655752,20,0,20,0.0,0.0065,0.994,1.0,0.0,1.3e3,1.0,0.842369866979492,0.35,%{cpu_percent: 45.0; memory_mb: 512},980000,2000,3,4,20,civ_adapt_gen10,0,100.0,0.05
