generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T16:03:26.704000Z,2,200,10,10,6,0,10.0,0.949498290173544,20,0,20,0.0,0.0082,0.992,1.0,0.0,1.3e3,1.0,0.8905447705002935,0.305,%{cpu_percent: 45.0; memory_mb: 512},998000,2000,3,6,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T16:03:26.712000Z,2,200,10,10,6,0,10.0,0.9202415810851149,20,0,20,0.0,0.0085,0.992,1.0,0.0,1.3e3,1.0,0.8903463498093322,0.31,%{cpu_percent: 45.0; memory_mb: 512},996000,2000,3,4,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T16:03:26.728000Z,2,200,10,10,6,0,10.0,0.863815851128457,20,0,20,0.0,0.0071,0.993,1.0,0.0,1.3e3,1.0,0.8846600876448697,0.315,%{cpu_percent: 45.0; memory_mb: 512},994000,2000,3,3,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T16:03:26.766000Z,2,200,10,10,6,0,10.0,0.8674252955699221,20,0,20,0.0,0.0076,0.992,1.0,0.0,1.3e3,1.0,0.8139162004560087,0.32,%{cpu_percent: 45.0; memory_mb: 512},992000,2000,3,6,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T16:03:26.792000Z,12,200,10,10,6,0,10.0,0.8663438589451424,20,0,20,0.0,0.006,0.994,1.0,0.0,1.3e3,1.0,0.7037614674786085,0.325,%{cpu_percent: 45.0; memory_mb: 512},990000,2000,3,3,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T16:03:26.797000Z,2,200,10,10,6,0,10.0,0.8795813879924965,20,0,20,0.0,0.0079,0.992,1.0,0.0,1.3e3,1.0,0.7366515910375127,0.33,%{cpu_percent: 45.0; memory_mb: 512},988000,2000,3,4,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T16:03:26.811000Z,2,200,10,10,6,0,10.0,0.8755804613887054,20,0,20,0.0,0.0063,0.994,1.0,0.0,1.3e3,1.0,0.7418324872922231,0.335,%{cpu_percent: 45.0; memory_mb: 512},986000,2000,3,5,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T16:03:26.834000Z,2,200,10,10,6,0,10.0,0.8252270002502552,20,0,20,0.0,0.008,0.992,1.0,0.0,1.3e3,1.0,0.7206372892438765,0.34,%{cpu_percent: 45.0; memory_mb: 512},984000,2000,3,5,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T16:03:26.844000Z,2,200,10,10,6,0,10.0,0.8178660993440331,20,0,20,0.0,0.0064,0.994,1.0,0.0,1.3e3,1.0,0.7590959178528769,0.345,%{cpu_percent: 45.0; memory_mb: 512},982000,2000,3,7,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T16:03:26.867000Z,2,200,10,10,6,0,10.0,0.82810222231483,20,0,20,0.0,0.0076,0.992,1.0,0.0,1.3e3,1.0,0.8587082081692211,0.35,%{cpu_percent: 45.0; memory_mb: 512},980000,2000,3,6,20,civ_adapt_gen10,0,100.0,0.05
11,2026-06-30T16:03:26.872000Z,2,200,10,10,6,0,10.0,0.81010710119117,20,4,16,0.2,0.0089,0.991,1.0,3.33,2.1e3,1.0,0.750151529023142,0.355,%{cpu_percent: 45.0; memory_mb: 512},976000,4000,3,4,20,civ_adapt_gen11,0,100.0,0.05
12,2026-06-30T16:03:26.908000Z,23,200,10,10,6,0,10.0,0.9137458699207185,20,1,19,0.05,0.0079,0.992,1.0,0.21,1.5e3,1.0,0.7552527657330105,0.36,%{cpu_percent: 45.0; memory_mb: 512},973500,2500,3,6,20,civ_adapt_gen12,0,100.0,0.05
13,2026-06-30T16:03:26.944000Z,1,200,10,10,6,0,10.0,0.824156578422428,20,5,15,0.25,0.0063,0.994,1.0,5.15,2.3e3,1.0,0.7332118573978893,0.365,%{cpu_percent: 45.0; memory_mb: 512},969000,4500,3,5,20,civ_adapt_gen13,0,100.0,0.05
14,2026-06-30T16:03:26.947000Z,1,200,10,10,6,0,10.0,0.9466125148145348,20,8,12,0.4,0.0092,0.991,1.0,13.54,2.9e3,1.0,0.7818908382999618,0.37,%{cpu_percent: 45.0; memory_mb: 512},963000,6000,3,6,20,civ_adapt_gen14,0,100.0,0.05
15,2026-06-30T16:03:26.967000Z,3,200,10,10,6,0,10.0,0.91138161954375,20,8,12,0.4,0.0086,0.991,1.0,13.48,2.9e3,1.0,0.7736918988893977,0.375,%{cpu_percent: 45.0; memory_mb: 512},957000,6000,3,3,20,civ_adapt_gen15,0,100.0,0.05
16,2026-06-30T16:03:26.978000Z,2,200,10,10,6,0,10.0,0.8817494128813481,20,13,7,0.65,0.0072,0.993,1.0,36.81,3.9e3,1.0,0.8340504116861269,0.38,%{cpu_percent: 45.0; memory_mb: 512},948500,8500,3,6,20,civ_adapt_gen16,0,100.0,0.05
