generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T16:05:07.971000Z,6,200,10,10,6,0,10.0,0.9465257846919453,20,0,20,0.0,0.0075,0.993,1.0,0.0,1.3e3,1.0,0.8349515477783538,0.305,%{cpu_percent: 45.0; memory_mb: 512},998000,2000,3,8,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T16:05:07.990000Z,8,200,10,10,6,0,10.0,0.848167066500954,20,0,20,0.0,0.0076,0.992,1.0,0.0,1.3e3,1.0,0.8585199901536805,0.31,%{cpu_percent: 45.0; memory_mb: 512},996000,2000,3,3,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T16:05:08.026000Z,5,200,10,10,6,0,10.0,0.8943621615277402,20,0,20,0.0,0.0069,0.993,1.0,0.0,1.3e3,1.0,0.8776496062334845,0.315,%{cpu_percent: 45.0; memory_mb: 512},994000,2000,3,4,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T16:05:08.058000Z,2,200,10,10,6,0,10.0,0.8379566707289802,20,0,20,0.0,0.0072,0.993,1.0,0.0,1.3e3,1.0,0.7698687326234491,0.32,%{cpu_percent: 45.0; memory_mb: 512},992000,2000,3,3,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T16:05:08.070000Z,7,200,10,10,6,0,10.0,0.8778364159913895,20,0,20,0.0,0.0063,0.994,1.0,0.0,1.3e3,1.0,0.7496208598887182,0.325,%{cpu_percent: 45.0; memory_mb: 512},990000,2000,3,8,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T16:05:08.088000Z,2,200,10,10,6,0,10.0,0.8742990213400984,20,0,20,0.0,0.0079,0.992,1.0,0.0,1.3e3,1.0,0.8409547404807763,0.33,%{cpu_percent: 45.0; memory_mb: 512},988000,2000,3,5,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T16:05:08.107000Z,2,200,10,10,6,0,10.0,0.8588465245662377,20,0,20,0.0,0.0071,0.993,1.0,0.0,1.3e3,1.0,0.8927968361253459,0.335,%{cpu_percent: 45.0; memory_mb: 512},986000,2000,3,6,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T16:05:08.143000Z,10,200,10,10,6,0,10.0,0.8196627543448755,20,0,20,0.0,0.007,0.993,1.0,0.0,1.3e3,1.0,0.8022574781624012,0.34,%{cpu_percent: 45.0; memory_mb: 512},984000,2000,3,4,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T16:05:08.153000Z,4,200,10,10,6,0,10.0,0.8627922660432013,20,0,20,0.0,0.0073,0.993,1.0,0.0,1.3e3,1.0,0.8551288958236868,0.345,%{cpu_percent: 45.0; memory_mb: 512},982000,2000,3,3,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T16:05:08.187000Z,2,200,10,10,6,0,10.0,0.8738625706077789,20,0,20,0.0,0.0074,0.993,1.0,0.0,1.3e3,1.0,0.7782307491103557,0.35,%{cpu_percent: 45.0; memory_mb: 512},980000,2000,3,6,20,civ_adapt_gen10,0,100.0,0.05
11,2026-06-30T16:05:08.208000Z,2,200,10,10,6,0,10.0,0.8554421013122422,20,1,19,0.05,0.0073,0.993,1.0,0.23,1.5e3,1.0,0.8959050020833729,0.355,%{cpu_percent: 45.0; memory_mb: 512},977500,2500,3,8,20,civ_adapt_gen11,0,100.0,0.05
