generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T18:17:28.639000Z,13,200,15,15,4,0,15.0,0.9449524220001192,20,0,20,0.0,0.0085,0.992,1.0,0.0,1691.82,1.0,0.8269500554206506,0.307,%{cpu_percent: 45.0; memory_mb: 512},998334,1666,3,6,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T18:17:28.656000Z,2,200,22,22,14,0,22.0,0.9440987256944908,20,0,20,0.0,0.0067,0.993,1.0,0.0,2779.95,1.0,0.8704779600542734,0.376,%{cpu_percent: 45.0; memory_mb: 512},995413,2921,3,4,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T18:17:28.687000Z,13,200,13,13,7,0,13.0,0.8520675621662502,20,0,20,0.0,0.0094,0.991,1.0,0.0,1660.65,1.0,0.6815168833493623,0.464,%{cpu_percent: 45.0; memory_mb: 512},994227,1186,3,4,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T18:17:28.698000Z,4,200,20,20,8,0,20.0,0.8711056929545901,20,0,20,0.0,0.0049,0.995,1.0,0.0,2368.83,1.0,0.7643130773767207,0.244,%{cpu_percent: 45.0; memory_mb: 512},992287,1940,3,4,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T18:17:28.721000Z,12,200,22,22,13,0,22.0,0.9394179035397497,20,0,20,0.0,0.0068,0.993,1.0,0.0,2741.83,1.0,0.8898106989758543,0.219,%{cpu_percent: 45.0; memory_mb: 512},990153,2134,3,3,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T18:17:28.736000Z,3,200,25,25,7,0,25.0,0.852620272433906,20,0,20,0.0,0.0065,0.994,1.0,0.0,2887.93,1.0,0.8767282848107975,0.25,%{cpu_percent: 45.0; memory_mb: 512},987907,2246,3,3,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T18:17:28.740000Z,2,200,22,22,6,0,22.0,0.8324323197555489,20,0,20,0.0,0.0085,0.992,1.0,0.0,2630.62,1.0,0.6795717857865446,0.284,%{cpu_percent: 45.0; memory_mb: 512},985826,2081,3,5,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T18:17:28.757000Z,3,200,25,25,5,0,25.0,0.8944616525810591,20,0,20,0.0,0.0083,0.992,1.0,0.0,2688.16,1.0,0.8032286221041876,0.416,%{cpu_percent: 45.0; memory_mb: 512},984166,1660,3,5,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T18:17:28.779000Z,2,200,25,25,4,0,25.0,0.8820228742267483,20,0,20,0.0,0.0073,0.993,1.0,0.0,2635.59,1.0,0.7387528364126174,0.487,%{cpu_percent: 45.0; memory_mb: 512},982540,1626,3,4,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T18:17:28.784000Z,3,200,24,24,5,0,24.0,0.8301647839493056,20,0,20,0.0,0.0083,0.992,1.0,0.0,2568.18,1.0,0.7316847335326089,0.415,%{cpu_percent: 45.0; memory_mb: 512},980047,2493,3,3,20,civ_adapt_gen10,0,100.0,0.05
11,2026-06-30T18:17:28.807000Z,2,200,19,19,9,0,19.0,0.8864211389813179,20,0,20,0.0,0.0088,0.991,1.0,0.0,2375.71,1.0,0.6462296991437565,0.53,%{cpu_percent: 45.0; memory_mb: 512},978866,1181,3,6,20,civ_adapt_gen11,0,100.0,0.05
