generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T11:20:44.653000Z,8,200,10,10,6,0,10.0,0.8250248205198458,20,0,20,0.0,0.0075,0.993,1.0,0.0,1.3e3,1.0,0.820120213547144,0.305,%{cpu_percent: 45.0; memory_mb: 512},998000,2000,3,8,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T11:20:44.689000Z,2,200,10,10,6,0,10.0,0.8027535227614835,20,0,20,0.0,0.0079,0.992,1.0,0.0,1.3e3,1.0,0.8710853023386373,0.31,%{cpu_percent: 45.0; memory_mb: 512},996000,2000,3,4,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T11:20:44.731000Z,18,200,10,10,6,0,10.0,0.8258519465307248,20,0,20,0.0,0.0062,0.994,1.0,0.0,1.3e3,1.0,0.7121242874335447,0.315,%{cpu_percent: 45.0; memory_mb: 512},994000,2000,3,3,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T11:20:44.737000Z,3,200,10,10,6,0,10.0,0.9493828086847238,20,0,20,0.0,0.0085,0.992,1.0,0.0,1.3e3,1.0,0.7467041254756648,0.32,%{cpu_percent: 45.0; memory_mb: 512},992000,2000,3,7,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T11:20:44.760000Z,2,200,10,10,6,0,10.0,0.9098851896611003,20,0,20,0.0,0.0073,0.993,1.0,0.0,1.3e3,1.0,0.8989876738040351,0.325,%{cpu_percent: 45.0; memory_mb: 512},990000,2000,3,4,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T11:20:44.780000Z,2,200,10,10,6,0,10.0,0.9311690253877936,20,0,20,0.0,0.0075,0.993,1.0,0.0,1.3e3,1.0,0.8290067461479861,0.33,%{cpu_percent: 45.0; memory_mb: 512},988000,2000,3,4,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T11:20:44.799000Z,2,200,10,10,6,0,10.0,0.9090709432774904,20,0,20,0.0,0.0064,0.994,1.0,0.0,1.3e3,1.0,0.7171317756681006,0.335,%{cpu_percent: 45.0; memory_mb: 512},986000,2000,3,4,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T11:20:44.819000Z,3,200,10,10,6,0,10.0,0.8768919238613126,20,0,20,0.0,0.0068,0.993,1.0,0.0,1.3e3,1.0,0.7147865587613371,0.34,%{cpu_percent: 45.0; memory_mb: 512},984000,2000,3,6,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T11:20:44.845000Z,3,200,10,10,6,0,10.0,0.8711147538263777,20,0,20,0.0,0.006,0.994,1.0,0.0,1.3e3,1.0,0.7452393674287415,0.345,%{cpu_percent: 45.0; memory_mb: 512},982000,2000,3,3,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T11:20:44.864000Z,3,200,10,10,6,0,10.0,0.805031774581352,20,0,20,0.0,0.0077,0.992,1.0,0.0,1.3e3,1.0,0.8713078347018436,0.35,%{cpu_percent: 45.0; memory_mb: 512},980000,2000,3,3,20,civ_adapt_gen10,0,100.0,0.05
11,2026-06-30T11:20:44.923000Z,3,200,10,10,6,0,10.0,0.910120564256758,20,2,18,0.1,0.0081,0.992,1.0,0.83,1.7e3,1.0,0.7446973437445588,0.355,%{cpu_percent: 45.0; memory_mb: 512},977000,3000,3,3,20,civ_adapt_gen11,0,100.0,0.05
12,2026-06-30T11:20:44.937000Z,9,200,10,10,6,0,10.0,0.9118978756716669,20,3,17,0.15,0.0079,0.992,1.0,1.85,1.9e3,1.0,0.731764383055595,0.36,%{cpu_percent: 45.0; memory_mb: 512},973500,3500,3,5,20,civ_adapt_gen12,0,100.0,0.05
13,2026-06-30T11:20:44.974000Z,26,200,10,10,6,0,10.0,0.8317409860143912,20,4,16,0.2,0.0091,0.991,1.0,3.31,2.1e3,1.0,0.7425466552044262,0.365,%{cpu_percent: 45.0; memory_mb: 512},969500,4000,3,5,20,civ_adapt_gen13,0,100.0,0.05
14,2026-06-30T11:20:44.987000Z,8,200,10,10,6,0,10.0,0.8596148296731634,20,11,9,0.55,0.0075,0.993,1.0,26.67,3.5e3,1.0,0.8563569739625814,0.37,%{cpu_percent: 45.0; memory_mb: 512},962000,7500,3,5,20,civ_adapt_gen14,0,100.0,0.05
15,2026-06-30T11:20:45.013000Z,3,200,10,10,6,0,10.0,0.9213053769146001,20,10,10,0.5,0.0072,0.993,1.0,21.74,3.3e3,1.0,0.8305607116509789,0.375,%{cpu_percent: 45.0; memory_mb: 512},955000,7000,3,4,20,civ_adapt_gen15,0,100.0,0.05
16,2026-06-30T11:20:45.030000Z,2,200,10,10,6,0,10.0,0.8126338838368143,20,8,12,0.4,0.0075,0.993,1.0,13.33,2.9e3,1.0,0.7545849767341593,0.38,%{cpu_percent: 45.0; memory_mb: 512},949000,6000,3,3,20,civ_adapt_gen16,0,100.0,0.05
17,2026-06-30T11:20:45.056000Z,3,200,10,10,6,0,10.0,0.9124040642476582,20,14,6,0.7,0.0073,0.993,1.0,41.64,4.1e3,1.0,0.7889571657261598,0.385,%{cpu_percent: 45.0; memory_mb: 512},940000,9000,3,7,20,civ_adapt_gen17,0,100.0,0.05
18,2026-06-30T11:20:45.072000Z,2,200,10,10,6,0,10.0,0.8817953173370136,20,14,6,0.7,0.008,0.992,1.0,40.65,4.1e3,1.0,0.7466271137652607,0.39,%{cpu_percent: 45.0; memory_mb: 512},931000,9000,3,3,20,civ_adapt_gen18,0,100.0,0.05
19,2026-06-30T11:20:45.113000Z,21,200,10,10,6,0,10.0,0.8655782280685722,20,16,4,0.8,0.007,0.993,1.0,55.58,4.5e3,1.0,0.8282865497621738,0.395,%{cpu_percent: 45.0; memory_mb: 512},921000,10000,3,6,20,civ_adapt_gen19,0,100.0,0.05
20,2026-06-30T11:20:45.132000Z,3,200,10,10,6,0,10.0,0.9428893323721358,20,20,0,1.0,0.009,0.991,1.0,81.14,5.3e3,1.0,0.7081890093036246,0.4,%{cpu_percent: 45.0; memory_mb: 512},909000,12000,3,7,20,civ_adapt_gen20,0,100.0,0.05
21,2026-06-30T11:20:45.181000Z,7,200,10,10,6,0,10.0,0.916408474888613,20,20,0,1.0,0.0075,0.993,1.0,89.19,5.3e3,1.0,0.877765485525993,0.405,%{cpu_percent: 45.0; memory_mb: 512},897000,12000,3,3,20,civ_adapt_gen21,0,100.0,0.05
22,2026-06-30T11:20:45.197000Z,5,200,10,10,6,0,10.0,0.8097249128924036,20,20,0,1.0,0.0091,0.991,1.0,82.99,5.3e3,1.0,0.7472588690429258,0.41,%{cpu_percent: 45.0; memory_mb: 512},885000,12000,3,5,20,civ_adapt_gen22,0,100.0,0.05
23,2026-06-30T11:20:45.240000Z,3,200,10,10,6,0,10.0,0.936330069003235,20,20,0,1.0,0.0074,0.993,1.0,84.0,5.3e3,1.0,0.768496054430425,0.415,%{cpu_percent: 45.0; memory_mb: 512},873000,12000,3,5,20,civ_adapt_gen23,0,100.0,0.05
24,2026-06-30T11:20:45.269000Z,19,200,10,10,6,0,10.0,0.8851491335290163,20,20,0,1.0,0.0077,0.992,1.0,86.38,5.3e3,1.0,0.8186276960032292,0.42,%{cpu_percent: 45.0; memory_mb: 512},861000,12000,3,6,20,civ_adapt_gen24,0,100.0,0.05
25,2026-06-30T11:20:45.275000Z,3,200,10,10,6,0,10.0,0.8672377494830882,20,20,0,1.0,0.0085,0.992,1.0,83.21,5.3e3,1.0,0.7518444625695584,0.425,%{cpu_percent: 45.0; memory_mb: 512},849000,12000,3,4,20,civ_adapt_gen25,0,100.0,0.05
26,2026-06-30T11:20:45.309000Z,4,200,10,10,6,0,10.0,0.9434837179814087,20,20,0,1.0,0.0082,0.992,1.0,81.91,5.3e3,1.0,0.7244695644132798,0.43,%{cpu_percent: 45.0; memory_mb: 512},837000,12000,3,6,20,civ_adapt_gen26,0,100.0,0.05
27,2026-06-30T11:20:45.344000Z,3,200,10,10,6,0,10.0,0.8041563554909573,20,20,0,1.0,0.0062,0.994,1.0,87.7,5.3e3,1.0,0.8463072720591374,0.435,%{cpu_percent: 45.0; memory_mb: 512},825000,12000,3,6,20,civ_adapt_gen27,0,100.0,0.05
28,2026-06-30T11:20:45.387000Z,20,200,10,10,6,0,10.0,0.8213276291764579,20,20,0,1.0,0.0075,0.993,1.0,84.82,5.3e3,1.0,0.7856596946103702,0.44,%{cpu_percent: 45.0; memory_mb: 512},813000,12000,3,8,20,civ_adapt_gen28,0,100.0,0.05
29,2026-06-30T11:20:45.420000Z,25,200,10,10,6,0,10.0,0.8253221042427782,20,20,0,1.0,0.0083,0.992,1.0,83.38,5.3e3,1.0,0.7554296746526586,0.445,%{cpu_percent: 45.0; memory_mb: 512},801000,12000,3,4,20,civ_adapt_gen29,0,100.0,0.05
30,2026-06-30T11:20:45.430000Z,3,200,10,10,6,0,10.0,0.8097599772822474,20,20,0,1.0,0.0071,0.993,1.0,81.76,5.3e3,1.0,0.7212275769876002,0.45,%{cpu_percent: 45.0; memory_mb: 512},789000,12000,3,7,20,civ_adapt_gen30,0,100.0,0.05
31,2026-06-30T11:20:45.512000Z,2,200,10,10,6,0,10.0,0.8049475346588624,20,20,0,1.0,0.0089,0.991,1.0,82.89,5.3e3,1.0,0.7449763785972711,0.455,%{cpu_percent: 45.0; memory_mb: 512},777000,12000,3,5,20,civ_adapt_gen31,0,100.0,0.05
32,2026-06-30T11:20:45.591000Z,22,200,10,10,6,0,10.0,0.9268398038794506,20,20,0,1.0,0.0084,0.992,1.0,81.44,5.3e3,1.0,0.7146215608263122,0.46,%{cpu_percent: 45.0; memory_mb: 512},765000,12000,3,5,20,civ_adapt_gen32,0,100.0,0.05
33,2026-06-30T11:20:45.603000Z,4,200,10,10,6,0,10.0,0.8731270539556645,20,20,0,1.0,0.0078,0.992,1.0,86.16,5.3e3,1.0,0.8139873179829294,0.465,%{cpu_percent: 45.0; memory_mb: 512},753000,12000,3,3,20,civ_adapt_gen33,0,100.0,0.05
34,2026-06-30T11:20:45.692000Z,8,200,10,10,6,0,10.0,0.8228366110851374,20,20,0,1.0,0.0071,0.993,1.0,87.93,5.3e3,1.0,0.8511960488433097,0.47,%{cpu_percent: 45.0; memory_mb: 512},741000,12000,3,6,20,civ_adapt_gen34,0,100.0,0.05
35,2026-06-30T11:20:45.722000Z,24,200,10,10,6,0,10.0,0.933220201416504,20,20,0,1.0,0.009,0.991,1.0,89.99,5.3e3,1.0,0.8945503029572432,0.475,%{cpu_percent: 45.0; memory_mb: 512},729000,12000,3,5,20,civ_adapt_gen35,0,100.0,0.05
36,2026-06-30T11:20:45.735000Z,5,200,10,10,6,0,10.0,0.824291535985458,20,20,0,1.0,0.0068,0.993,1.0,87.2,5.3e3,1.0,0.835854849122593,0.48,%{cpu_percent: 45.0; memory_mb: 512},717000,12000,3,7,20,civ_adapt_gen36,0,100.0,0.05
37,2026-06-30T11:20:45.794000Z,21,200,10,10,6,0,10.0,0.8327595306671726,20,20,0,1.0,0.0074,0.993,1.0,86.34,5.3e3,1.0,0.8176638862768164,0.485,%{cpu_percent: 45.0; memory_mb: 512},705000,12000,3,6,20,civ_adapt_gen37,0,100.0,0.05
38,2026-06-30T11:20:45.806000Z,3,200,10,10,6,0,10.0,0.9300251698393467,20,20,0,1.0,0.0073,0.993,1.0,86.13,5.3e3,1.0,0.8133679819605916,0.49,%{cpu_percent: 45.0; memory_mb: 512},693000,12000,3,5,20,civ_adapt_gen38,0,100.0,0.05
39,2026-06-30T11:20:45.832000Z,9,200,10,10,6,0,10.0,0.8592945986011559,20,20,0,1.0,0.0082,0.992,1.0,81.62,5.3e3,1.0,0.7182220257511359,0.495,%{cpu_percent: 45.0; memory_mb: 512},681000,12000,3,3,20,civ_adapt_gen39,0,100.0,0.05
40,2026-06-30T11:20:45.855000Z,3,200,10,10,6,0,10.0,0.8164561539334121,20,20,0,1.0,0.0084,0.992,1.0,84.21,5.3e3,1.0,0.7728199607580777,0.5,%{cpu_percent: 45.0; memory_mb: 512},669000,12000,3,7,20,civ_adapt_gen40,0,100.0,0.05
41,2026-06-30T11:20:45.890000Z,7,200,10,10,6,0,10.0,0.8880292889252445,20,20,0,1.0,0.0096,0.99,1.0,89.15,5.3e3,1.0,0.8769116787929032,0.505,%{cpu_percent: 45.0; memory_mb: 512},657000,12000,3,3,20,civ_adapt_gen41,0,100.0,0.05
42,2026-06-30T11:20:45.924000Z,15,200,10,10,6,0,10.0,0.9148159723594964,20,20,0,1.0,0.0088,0.991,1.0,82.0,5.3e3,1.0,0.7263659371120066,0.51,%{cpu_percent: 45.0; memory_mb: 512},645000,12000,3,5,20,civ_adapt_gen42,0,100.0,0.05
43,2026-06-30T11:20:45.930000Z,2,200,10,10,6,0,10.0,0.9296322508492374,20,20,0,1.0,0.0069,0.993,1.0,87.96,5.3e3,1.0,0.8518101365637406,0.515,%{cpu_percent: 45.0; memory_mb: 512},633000,12000,3,5,20,civ_adapt_gen43,0,100.0,0.05
44,2026-06-30T11:20:45.978000Z,4,200,10,10,6,0,10.0,0.8226709513099202,20,20,0,1.0,0.0076,0.992,1.0,82.4,5.3e3,1.0,0.7347818825487586,0.52,%{cpu_percent: 45.0; memory_mb: 512},621000,12000,3,7,20,civ_adapt_gen44,0,100.0,0.05
45,2026-06-30T11:20:46.023000Z,2,200,10,10,6,0,10.0,0.9144184630153401,20,20,0,1.0,0.0066,0.993,1.0,89.33,5.3e3,1.0,0.8806371044994076,0.525,%{cpu_percent: 45.0; memory_mb: 512},609000,12000,3,4,20,civ_adapt_gen45,0,100.0,0.05
46,2026-06-30T11:20:46.031000Z,4,200,10,10,6,0,10.0,0.920787125363699,20,20,0,1.0,0.0083,0.992,1.0,80.88,5.3e3,1.0,0.7028068841165925,0.53,%{cpu_percent: 45.0; memory_mb: 512},597000,12000,3,3,20,civ_adapt_gen46,0,100.0,0.05
47,2026-06-30T11:20:46.093000Z,30,200,10,10,6,0,10.0,0.8778001166000257,20,20,0,1.0,0.008,0.992,1.0,86.94,5.3e3,1.0,0.8303182042749285,0.535,%{cpu_percent: 45.0; memory_mb: 512},585000,12000,3,5,20,civ_adapt_gen47,0,100.0,0.05
48,2026-06-30T11:20:46.143000Z,32,200,10,10,6,0,10.0,0.8987656818803923,20,20,0,1.0,0.0074,0.993,1.0,82.51,5.3e3,1.0,0.7371280143544001,0.54,%{cpu_percent: 45.0; memory_mb: 512},573000,12000,3,7,20,civ_adapt_gen48,0,100.0,0.05
49,2026-06-30T11:20:46.152000Z,4,200,10,10,6,0,10.0,0.9369195483886821,20,20,0,1.0,0.0071,0.993,1.0,84.43,5.3e3,1.0,0.7774412152287693,0.545,%{cpu_percent: 45.0; memory_mb: 512},561000,12000,3,5,20,civ_adapt_gen49,0,100.0,0.05
50,2026-06-30T11:20:46.186000Z,3,200,10,10,6,0,10.0,0.8135039500304714,20,20,0,1.0,0.0085,0.992,1.0,90.0,5.3e3,1.0,0.8946771281077712,0.55,%{cpu_percent: 45.0; memory_mb: 512},549000,12000,3,6,20,civ_adapt_gen50,0,100.0,0.05
51,2026-06-30T11:20:46.228000Z,4,200,10,10,6,0,10.0,0.8290037688323195,20,20,0,1.0,0.0068,0.993,1.0,89.42,5.3e3,1.0,0.8824558636801005,0.555,%{cpu_percent: 45.0; memory_mb: 512},537000,12000,3,3,20,civ_adapt_gen51,0,100.0,0.05
52,2026-06-30T11:20:46.234000Z,4,200,10,10,6,0,10.0,0.9037664920413966,20,20,0,1.0,0.0078,0.992,1.0,89.59,5.3e3,1.0,0.8860779678117388,0.56,%{cpu_percent: 45.0; memory_mb: 512},525000,12000,3,3,20,civ_adapt_gen52,0,100.0,0.05
53,2026-06-30T11:20:46.271000Z,2,200,10,10,6,0,10.0,0.8100459057530002,20,20,0,1.0,0.0081,0.992,1.0,85.76,5.3e3,1.0,0.8054878734212625,0.565,%{cpu_percent: 45.0; memory_mb: 512},513000,12000,3,8,20,civ_adapt_gen53,0,100.0,0.05
54,2026-06-30T11:20:46.303000Z,6,200,10,10,6,0,10.0,0.822909715473011,20,20,0,1.0,0.0068,0.993,1.0,88.71,5.3e3,1.0,0.8676529096450243,0.57,%{cpu_percent: 45.0; memory_mb: 512},501000,12000,3,5,20,civ_adapt_gen54,0,100.0,0.05
55,2026-06-30T11:20:46.322000Z,2,200,10,10,6,0,10.0,0.8534465022653143,20,20,0,1.0,0.006,0.994,1.0,88.6,5.3e3,1.0,0.8652325804714699,0.575,%{cpu_percent: 45.0; memory_mb: 512},489000,12000,3,8,20,civ_adapt_gen55,0,100.0,0.05
56,2026-06-30T11:20:46.358000Z,3,200,10,10,6,0,10.0,0.8168607267029512,20,20,0,1.0,0.007,0.993,1.0,81.44,5.3e3,1.0,0.7144250634159734,0.58,%{cpu_percent: 45.0; memory_mb: 512},477000,12000,3,8,20,civ_adapt_gen56,0,100.0,0.05
57,2026-06-30T11:20:46.403000Z,2,200,10,10,6,0,10.0,0.9268326706380461,20,20,0,1.0,0.007,0.993,1.0,84.56,5.3e3,1.0,0.7802216964028947,0.585,%{cpu_percent: 45.0; memory_mb: 512},465000,12000,3,7,20,civ_adapt_gen57,0,100.0,0.05
58,2026-06-30T11:20:46.409000Z,3,200,10,10,6,0,10.0,0.9019021291171799,20,20,0,1.0,0.0061,0.994,1.0,84.52,5.3e3,1.0,0.7793222247432494,0.59,%{cpu_percent: 45.0; memory_mb: 512},453000,12000,3,8,20,civ_adapt_gen58,0,100.0,0.05
59,2026-06-30T11:20:46.436000Z,2,200,10,10,6,0,10.0,0.848255519990557,20,20,0,1.0,0.0058,0.994,1.0,87.09,5.3e3,1.0,0.833476695004181,0.595,%{cpu_percent: 45.0; memory_mb: 512},441000,12000,3,5,20,civ_adapt_gen59,0,100.0,0.05
60,2026-06-30T11:20:46.450000Z,3,200,10,10,6,0,10.0,0.9350710630273905,20,20,0,1.0,0.0077,0.992,1.0,81.78,5.3e3,1.0,0.7216893371680406,0.6,%{cpu_percent: 45.0; memory_mb: 512},429000,12000,3,7,20,civ_adapt_gen60,0,100.0,0.05
61,2026-06-30T11:20:46.491000Z,2,200,10,10,6,0,10.0,0.8990309413423399,20,20,0,1.0,0.0081,0.992,1.0,86.52,5.3e3,1.0,0.8215601511098375,0.605,%{cpu_percent: 45.0; memory_mb: 512},417000,12000,3,3,20,civ_adapt_gen61,0,100.0,0.05
62,2026-06-30T11:20:46.521000Z,2,200,10,10,6,0,10.0,0.8268317370388214,20,20,0,1.0,0.0071,0.993,1.0,85.44,5.3e3,1.0,0.7987756427328788,0.61,%{cpu_percent: 45.0; memory_mb: 512},405000,12000,3,3,20,civ_adapt_gen62,0,100.0,0.05
63,2026-06-30T11:20:46.557000Z,10,200,10,10,6,0,10.0,0.8601585514029519,20,20,0,1.0,0.0073,0.993,1.0,88.81,5.3e3,1.0,0.8696701192192822,0.615,%{cpu_percent: 45.0; memory_mb: 512},393000,12000,3,6,20,civ_adapt_gen63,0,100.0,0.05
