generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T11:23:40.542000Z,1,200,10,10,6,0,10.0,0.927099634296835,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8653857374126421,0.305,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen1,0,100.0,0.05
1,2026-06-30T11:28:01.544000Z,1,200,10,10,6,0,10.0,0.9311424259824257,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8565298482366441,0.305,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen1,0,100.0,0.05
2,2026-06-30T11:28:01.548000Z,1,200,10,10,6,0,10.0,0.9430755237766297,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7519065696860316,0.31,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen2,0,100.0,0.05
3,2026-06-30T11:28:01.592000Z,13,200,10,10,6,0,10.0,0.8389358549627857,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8066725693658278,0.315,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen3,0,100.0,0.05
4,2026-06-30T11:28:01.623000Z,10,200,10,10,6,0,10.0,0.8153610753546071,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8532786341509057,0.32,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen4,0,100.0,0.05
5,2026-06-30T11:28:01.656000Z,1,200,10,10,6,0,10.0,0.9059560770905609,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7245824652698417,0.325,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen5,0,100.0,0.05
6,2026-06-30T11:28:01.661000Z,1,200,10,10,6,0,10.0,0.8868511209634564,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8581992796990618,0.33,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen6,0,100.0,0.05
7,2026-06-30T11:28:01.714000Z,1,200,10,10,6,0,10.0,0.883542998391927,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8356413182132769,0.335,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen7,0,100.0,0.05
8,2026-06-30T11:28:01.750000Z,1,200,10,10,6,0,10.0,0.8418273017466023,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8942392126558844,0.34,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen8,0,100.0,0.05
9,2026-06-30T11:28:01.753000Z,1,200,10,10,6,0,10.0,0.8466904079734414,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7401409244431499,0.345,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen9,0,100.0,0.05
10,2026-06-30T11:28:01.775000Z,1,200,10,10,6,0,10.0,0.8616136573713692,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7008054580617158,0.35,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen10,0,100.0,0.05
