generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T17:36:45.272000Z,3,200,12,12,6,0,12.0,0.8626408186360344,20,0,20,0.0,0.007,0.993,1.0,0.0,1566.0,1.0,0.7304686626378767,0.275,%{cpu_percent: 45.0; memory_mb: 512},997585,2415,3,3,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:36:45.281000Z,3,200,11,11,8,0,11.0,0.9368085085500422,20,0,20,0.0,0.0062,0.994,1.0,0.0,1504.72,1.0,0.6639901307580492,0.274,%{cpu_percent: 45.0; memory_mb: 512},994587,2998,3,7,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:36:45.296000Z,3,200,12,12,6,0,12.0,0.8265283741286092,20,0,20,0.0,0.0069,0.993,1.0,0.0,1617.19,1.0,0.650587606787239,0.228,%{cpu_percent: 45.0; memory_mb: 512},993453,1134,3,7,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:36:45.326000Z,3,200,8,8,8,0,8.0,0.9222488825529106,20,0,20,0.0,0.0077,0.992,1.0,0.0,1101.17,1.0,0.8284945329064095,0.408,%{cpu_percent: 45.0; memory_mb: 512},990882,2571,3,5,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T17:36:45.342000Z,2,200,9,9,7,0,9.0,0.9115423403449199,20,0,20,0.0,0.0084,0.992,1.0,0.0,1229.96,1.0,0.6783495656511503,0.495,%{cpu_percent: 45.0; memory_mb: 512},988182,2700,3,4,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T17:36:45.357000Z,3,200,9,9,5,0,9.0,0.8643905083963106,20,0,20,0.0,0.0095,0.991,1.0,0.0,1153.3,1.0,0.7340475065786138,0.42,%{cpu_percent: 45.0; memory_mb: 512},986568,1614,3,4,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T17:36:45.373000Z,2,200,11,11,7,0,11.0,0.8759715903947938,20,0,20,0.0,0.0087,0.991,1.0,0.0,1501.84,1.0,0.6196602717193322,0.472,%{cpu_percent: 45.0; memory_mb: 512},983521,3047,3,5,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T17:36:45.393000Z,3,200,12,12,6,0,12.0,0.8860990567345436,20,0,20,0.0,0.0082,0.992,1.0,0.0,1531.03,1.0,0.8265663616041277,0.397,%{cpu_percent: 45.0; memory_mb: 512},980671,2850,3,6,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T17:36:45.413000Z,13,200,12,12,8,0,12.0,0.8116025329617719,20,0,20,0.0,0.0082,0.992,1.0,0.0,1594.4,1.0,0.8225634583421249,0.267,%{cpu_percent: 45.0; memory_mb: 512},977627,3044,3,7,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T17:36:45.420000Z,4,200,10,10,7,0,10.0,0.9488951909722799,20,0,20,0.0,0.0081,0.992,1.0,0.0,1476.32,1.0,0.8063579613488425,0.235,%{cpu_percent: 45.0; memory_mb: 512},975392,2235,3,7,20,civ_adapt_gen10,0,100.0,0.05
1,2026-06-30T17:41:48.887000Z,14,200,13,13,6,0,13.0,0.8626408186360344,20,0,20,0.0,0.007,0.993,1.0,0.0,1670.4,1.0,0.7304686626378767,0.275,%{cpu_percent: 45.0; memory_mb: 512},997585,2415,3,3,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:41:48.904000Z,8,200,11,11,8,0,11.0,0.9368085085500422,20,0,20,0.0,0.0062,0.994,1.0,0.0,1504.72,1.0,0.6639901307580492,0.274,%{cpu_percent: 45.0; memory_mb: 512},994587,2998,3,7,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:41:48.929000Z,5,200,12,12,6,0,12.0,0.8265283741286092,20,0,20,0.0,0.0069,0.993,1.0,0.0,1617.19,1.0,0.650587606787239,0.228,%{cpu_percent: 45.0; memory_mb: 512},993453,1134,3,7,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:41:48.939000Z,3,200,8,8,9,0,8.0,0.9222488825529106,20,0,20,0.0,0.0077,0.992,1.0,0.0,1147.05,1.0,0.8284945329064095,0.408,%{cpu_percent: 45.0; memory_mb: 512},990882,2571,3,5,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T17:41:48.956000Z,3,200,8,8,7,0,8.0,0.9115423403449199,20,0,20,0.0,0.0084,0.992,1.0,0.0,1131.57,1.0,0.6783495656511503,0.495,%{cpu_percent: 45.0; memory_mb: 512},988182,2700,3,4,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T17:41:48.973000Z,3,200,8,8,4,1,8.0,0.8643905083963106,20,0,20,0.0,0.0095,0.991,1.0,0.0,1002.87,1.0,0.7340475065786138,0.42,%{cpu_percent: 45.0; memory_mb: 512},986568,1614,3,4,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T17:41:48.988000Z,3,200,11,11,8,0,11.0,0.8759715903947938,20,0,20,0.0,0.0087,0.991,1.0,0.0,1553.63,1.0,0.6196602717193322,0.472,%{cpu_percent: 45.0; memory_mb: 512},983521,3047,3,5,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T17:41:49.017000Z,2,200,13,13,5,0,13.0,0.8860990567345436,20,0,20,0.0,0.0082,0.992,1.0,0.0,1582.07,1.0,0.8265663616041277,0.397,%{cpu_percent: 45.0; memory_mb: 512},980671,2850,3,6,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T17:41:49.022000Z,2,200,13,13,9,0,13.0,0.8116025329617719,20,0,20,0.0,0.0082,0.992,1.0,0.0,1743.87,1.0,0.8225634583421249,0.267,%{cpu_percent: 45.0; memory_mb: 512},977627,3044,3,7,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T17:41:49.039000Z,3,200,9,9,7,0,9.0,0.9488951909722799,20,0,20,0.0,0.0081,0.992,1.0,0.0,1366.96,1.0,0.8063579613488425,0.235,%{cpu_percent: 45.0; memory_mb: 512},975392,2235,3,7,20,civ_adapt_gen10,0,100.0,0.05
1,2026-06-30T17:44:54.739000Z,3,200,24,24,6,0,24.0,0.8626408186360344,20,0,20,0.0,0.007,0.993,1.0,0.0,2818.8,1.0,0.7304686626378767,0.275,%{cpu_percent: 45.0; memory_mb: 512},997585,2415,3,3,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:44:54.755000Z,3,200,19,19,11,0,19.0,0.9368085085500422,20,0,20,0.0,0.0062,0.994,1.0,0.0,2457.71,1.0,0.6639901307580492,0.274,%{cpu_percent: 45.0; memory_mb: 512},994587,2998,3,7,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:44:54.782000Z,10,200,22,22,6,0,22.0,0.8265283741286092,20,0,20,0.0,0.0069,0.993,1.0,0.0,2695.31,1.0,0.650587606787239,0.228,%{cpu_percent: 45.0; memory_mb: 512},993453,1134,3,7,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:44:54.794000Z,4,200,9,9,11,0,9.0,0.9222488825529106,20,0,20,0.0,0.0077,0.992,1.0,0.0,1330.58,1.0,0.8284945329064095,0.408,%{cpu_percent: 45.0; memory_mb: 512},990882,2571,3,5,20,civ_adapt_gen4,0,100.0,0.05
