generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T15:20:28.625000Z,6,200,10,10,6,0,10.0,0.8684239162214867,20,0,20,0.0,0.0094,0.991,1.0,0.0,1.3e3,1.0,0.89973582757585,0.305,%{cpu_percent: 45.0; memory_mb: 512},998000,2000,3,5,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T15:20:28.643000Z,5,200,10,10,6,0,10.0,0.9488931205013211,20,0,20,0.0,0.0065,0.994,1.0,0.0,1.3e3,1.0,0.8632113552724768,0.31,%{cpu_percent: 45.0; memory_mb: 512},996000,2000,3,4,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T15:20:28.659000Z,7,200,10,10,6,0,10.0,0.8418100084503212,20,0,20,0.0,0.0057,0.994,1.0,0.0,1.3e3,1.0,0.7567688049591061,0.315,%{cpu_percent: 45.0; memory_mb: 512},994000,2000,3,8,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T15:20:28.682000Z,6,200,10,10,6,0,10.0,0.9063827558264899,20,0,20,0.0,0.0084,0.992,1.0,0.0,1.3e3,1.0,0.8469708375358134,0.32,%{cpu_percent: 45.0; memory_mb: 512},992000,2000,3,4,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T15:20:28.707000Z,14,200,10,10,6,0,10.0,0.9123277218850283,20,0,20,0.0,0.0054,0.995,1.0,0.0,1.3e3,1.0,0.7107869199170401,0.325,%{cpu_percent: 45.0; memory_mb: 512},990000,2000,3,4,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T15:20:28.723000Z,4,200,10,10,6,0,10.0,0.9040682202769716,20,0,20,0.0,0.0077,0.992,1.0,0.0,1.3e3,1.0,0.7630035663964227,0.33,%{cpu_percent: 45.0; memory_mb: 512},988000,2000,3,5,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T15:20:28.744000Z,4,200,10,10,6,0,10.0,0.8270627183235063,20,0,20,0.0,0.0085,0.992,1.0,0.0,1.3e3,1.0,0.7620963347457285,0.335,%{cpu_percent: 45.0; memory_mb: 512},986000,2000,3,8,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T15:20:28.769000Z,8,200,10,10,6,0,10.0,0.9210643542245452,20,0,20,0.0,0.0069,0.993,1.0,0.0,1.3e3,1.0,0.8283801678936582,0.34,%{cpu_percent: 45.0; memory_mb: 512},984000,2000,3,5,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T15:20:28.783000Z,7,200,10,10,6,0,10.0,0.8793248407342791,20,0,20,0.0,0.0071,0.993,1.0,0.0,1.3e3,1.0,0.7963496428138045,0.345,%{cpu_percent: 45.0; memory_mb: 512},982000,2000,3,4,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T15:20:28.794000Z,4,200,10,10,6,0,10.0,0.9137046552641475,20,0,20,0.0,0.008,0.992,1.0,0.0,1.3e3,1.0,0.8256350687391083,0.35,%{cpu_percent: 45.0; memory_mb: 512},980000,2000,3,4,20,civ_adapt_gen10,0,100.0,0.05
11,2026-06-30T15:20:28.816000Z,5,200,10,10,6,0,10.0,0.8702024227506341,20,0,20,0.0,0.0071,0.993,1.0,0.0,1.3e3,1.0,0.7829335947233294,0.355,%{cpu_percent: 45.0; memory_mb: 512},978000,2000,3,4,20,civ_adapt_gen11,0,100.0,0.05
12,2026-06-30T15:20:28.841000Z,13,200,10,10,6,0,10.0,0.9010167264272085,20,10,10,0.5,0.0072,0.993,1.0,21.18,3.3e3,1.0,0.7834728278741927,0.36,%{cpu_percent: 45.0; memory_mb: 512},971000,7000,3,6,20,civ_adapt_gen12,0,100.0,0.05
13,2026-06-30T15:20:28.857000Z,12,200,10,10,6,0,10.0,0.8041828225194968,20,10,10,0.5,0.0054,0.995,1.0,22.37,3.3e3,1.0,0.8836096020585599,0.365,%{cpu_percent: 45.0; memory_mb: 512},964000,7000,3,6,20,civ_adapt_gen13,0,100.0,0.05
14,2026-06-30T15:20:28.883000Z,7,200,10,10,6,0,10.0,0.8617442448748636,20,9,11,0.45,0.0067,0.993,1.0,17.05,3.1e3,1.0,0.7724416558489473,0.37,%{cpu_percent: 45.0; memory_mb: 512},957500,6500,3,3,20,civ_adapt_gen14,0,100.0,0.05
