generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T15:23:14.431000Z,8,100,5,5,3,0,5.0,0.879023410309527,20,0,20,0.0,0.0065,0.994,1.0,0.0,650.0,1.0,0.7696015790153761,0.305,%{cpu_percent: 45.0; memory_mb: 512},998000,2000,3,6,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T15:23:14.446000Z,6,100,5,5,3,0,5.0,0.8390663699974586,20,0,20,0.0,0.007,0.993,1.0,0.0,650.0,1.0,0.763242627775503,0.31,%{cpu_percent: 45.0; memory_mb: 512},996000,2000,3,5,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T15:23:14.480000Z,8,100,5,5,3,0,5.0,0.8646090259027526,20,0,20,0.0,0.007,0.993,1.0,0.0,650.0,1.0,0.8426161069275205,0.315,%{cpu_percent: 45.0; memory_mb: 512},994000,2000,3,4,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T15:23:14.503000Z,14,100,5,5,3,1,5.0,0.8121028765300261,20,0,20,0.0,0.0054,0.995,1.0,0.0,650.0,1.0,0.757026260032562,0.32,%{cpu_percent: 45.0; memory_mb: 512},992000,2000,3,5,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T15:23:14.515000Z,7,100,5,5,3,0,5.0,0.8791405550811591,20,0,20,0.0,0.007,0.993,1.0,0.0,650.0,1.0,0.8653046186249698,0.325,%{cpu_percent: 45.0; memory_mb: 512},990000,2000,3,6,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T15:23:14.537000Z,6,100,5,5,3,0,5.0,0.911321390578775,20,0,20,0.0,0.0079,0.992,1.0,0.0,650.0,1.0,0.7529281669567649,0.33,%{cpu_percent: 45.0; memory_mb: 512},988000,2000,3,3,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T15:23:14.558000Z,10,100,5,5,3,1,5.0,0.8444111696571907,20,0,20,0.0,0.0091,0.991,1.0,0.0,650.0,1.0,0.8015164520180869,0.335,%{cpu_percent: 45.0; memory_mb: 512},986000,2000,3,5,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T15:23:14.579000Z,7,100,5,5,3,2,5.0,0.8796024868517951,20,0,20,0.0,0.0078,0.992,1.0,0.0,650.0,1.0,0.8734840456319501,0.34,%{cpu_percent: 45.0; memory_mb: 512},984000,2000,3,8,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T15:23:14.614000Z,13,100,5,5,3,0,5.0,0.8695580152919875,20,0,20,0.0,0.0076,0.992,1.0,0.0,650.0,1.0,0.840732587558473,0.345,%{cpu_percent: 45.0; memory_mb: 512},982000,2000,3,5,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T15:23:14.631000Z,7,100,5,5,3,0,5.0,0.8028588305763117,20,0,20,0.0,0.0075,0.993,1.0,0.0,650.0,1.0,0.8040190679882687,0.35,%{cpu_percent: 45.0; memory_mb: 512},980000,2000,3,4,20,civ_adapt_gen10,0,100.0,0.05
11,2026-06-30T15:23:14.659000Z,12,100,5,5,3,0,5.0,0.9394977530487358,20,0,20,0.0,0.0086,0.991,1.0,0.0,650.0,1.0,0.8462031740183112,0.355,%{cpu_percent: 45.0; memory_mb: 512},978000,2000,3,4,20,civ_adapt_gen11,0,100.0,0.05
12,2026-06-30T15:23:14.671000Z,7,100,5,5,3,0,5.0,0.8545032068521762,20,3,17,0.15,0.0081,0.992,1.0,1.98,1250.0,1.0,0.8566971308020034,0.36,%{cpu_percent: 45.0; memory_mb: 512},974500,3500,3,8,20,civ_adapt_gen12,0,100.0,0.05
13,2026-06-30T15:23:14.694000Z,7,100,5,5,3,0,5.0,0.8954594912895721,20,6,14,0.3,0.0085,0.992,1.0,7.51,1850.0,1.0,0.7570906762610607,0.365,%{cpu_percent: 45.0; memory_mb: 512},969500,5000,3,4,20,civ_adapt_gen13,0,100.0,0.05
14,2026-06-30T15:23:14.723000Z,14,100,5,5,3,0,5.0,0.8132159305782521,20,6,14,0.3,0.0082,0.992,1.0,7.81,1850.0,1.0,0.8279869325828412,0.37,%{cpu_percent: 45.0; memory_mb: 512},964500,5000,3,6,20,civ_adapt_gen14,0,100.0,0.05
15,2026-06-30T15:23:14.733000Z,5,100,5,5,3,0,5.0,0.9003702165105522,20,13,7,0.65,0.009,0.991,1.0,36.55,3250.0,1.0,0.8210104303174647,0.375,%{cpu_percent: 45.0; memory_mb: 512},956000,8500,3,8,20,civ_adapt_gen15,0,100.0,0.05
16,2026-06-30T15:23:14.760000Z,11,100,5,5,3,0,5.0,0.891869381344325,20,13,7,0.65,0.005,0.995,1.0,34.9,3250.0,1.0,0.7391561246884014,0.38,%{cpu_percent: 45.0; memory_mb: 512},947500,8500,3,7,20,civ_adapt_gen16,0,100.0,0.05
17,2026-06-30T15:23:14.773000Z,6,100,5,5,3,0,5.0,0.8830264624404437,20,16,4,0.8,0.0059,0.994,1.0,53.25,3850.0,1.0,0.751659896907498,0.385,%{cpu_percent: 45.0; memory_mb: 512},937500,10000,3,8,20,civ_adapt_gen17,0,100.0,0.05
18,2026-06-30T15:23:14.796000Z,5,100,5,5,3,0,5.0,0.8145552191106464,20,19,1,0.95,0.0064,0.994,1.0,78.72,4450.0,1.0,0.8364004540882596,0.39,%{cpu_percent: 45.0; memory_mb: 512},926000,11500,3,7,20,civ_adapt_gen18,0,100.0,0.05
19,2026-06-30T15:23:14.813000Z,7,100,5,5,3,0,5.0,0.8365954132869324,20,19,1,0.95,0.0079,0.992,1.0,78.37,4450.0,1.0,0.8282235472313741,0.395,%{cpu_percent: 45.0; memory_mb: 512},914500,11500,3,5,20,civ_adapt_gen19,0,100.0,0.05
20,2026-06-30T15:23:14.832000Z,6,100,5,5,3,0,5.0,0.8289064548379146,20,20,0,1.0,0.0061,0.994,1.0,87.59,4650.0,1.0,0.8440871455002912,0.4,%{cpu_percent: 45.0; memory_mb: 512},902500,12000,3,7,20,civ_adapt_gen20,0,100.0,0.05
