generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T15:23:14.877000Z,3,100,5,5,3,0,5.0,0.8582729202705551,0,0,0,0.0,,,,0.0,650.0,0.0,0.788351782090334,0.305,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen1,0,100.0,0.05
2,2026-06-30T15:23:14.902000Z,5,100,5,5,3,0,5.0,0.8746432529056073,0,0,0,0.0,,,,0.0,650.0,0.0,0.825025842336049,0.31,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen2,0,100.0,0.05
3,2026-06-30T15:23:14.912000Z,4,100,5,5,3,0,5.0,0.8415593690422428,0,0,0,0.0,,,,0.0,650.0,0.0,0.8747074331893344,0.315,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen3,0,100.0,0.05
4,2026-06-30T15:23:14.932000Z,4,100,5,5,3,0,5.0,0.9002837148042162,0,0,0,0.0,,,,0.0,650.0,0.0,0.8283415480337712,0.32,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen4,0,100.0,0.05
5,2026-06-30T15:23:14.954000Z,7,100,5,5,3,0,5.0,0.8511487505869396,0,0,0,0.0,,,,0.0,650.0,0.0,0.897795043955254,0.325,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen5,0,100.0,0.05
6,2026-06-30T15:23:14.965000Z,4,100,5,5,3,0,5.0,0.8542357836805167,0,0,0,0.0,,,,0.0,650.0,0.0,0.7359564765923755,0.33,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen6,0,100.0,0.05
7,2026-06-30T15:23:14.992000Z,11,100,5,5,3,0,5.0,0.8518622242873961,0,0,0,0.0,,,,0.0,650.0,0.0,0.7162373246022192,0.335,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen7,0,100.0,0.05
8,2026-06-30T15:23:15.012000Z,3,100,5,5,3,0,5.0,0.843545854920157,0,0,0,0.0,,,,0.0,650.0,0.0,0.88860446388476,0.34,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen8,0,100.0,0.05
9,2026-06-30T15:23:15.037000Z,11,100,5,5,3,0,5.0,0.898279339117948,0,0,0,0.0,,,,0.0,650.0,0.0,0.7703784567764799,0.345,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen9,0,100.0,0.05
10,2026-06-30T15:23:15.067000Z,3,100,5,5,3,0,5.0,0.8726165396321833,0,0,0,0.0,,,,0.0,650.0,0.0,0.8678559167987411,0.35,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen10,0,100.0,0.05
