generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T15:23:13.109000Z,5,200,10,10,6,0,10.0,0.8079643677613962,20,0,20,0.0,0.0074,0.993,1.0,0.0,1.3e3,1.0,0.7081849993193762,0.305,%{cpu_percent: 45.0; memory_mb: 512},998000,2000,3,4,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T15:23:13.131000Z,17,200,10,10,6,0,10.0,0.8612544043466961,20,0,20,0.0,0.0057,0.994,1.0,0.0,1.3e3,1.0,0.7576191590630701,0.31,%{cpu_percent: 45.0; memory_mb: 512},996000,2000,3,4,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T15:23:13.161000Z,11,200,10,10,6,0,10.0,0.8518830211944846,20,0,20,0.0,0.008,0.992,1.0,0.0,1.3e3,1.0,0.7247075445248543,0.315,%{cpu_percent: 45.0; memory_mb: 512},994000,2000,3,8,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T15:23:13.174000Z,8,200,10,10,6,0,10.0,0.927097149897617,20,0,20,0.0,0.0067,0.993,1.0,0.0,1.3e3,1.0,0.7633386694636461,0.32,%{cpu_percent: 45.0; memory_mb: 512},992000,2000,3,3,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T15:23:13.205000Z,15,200,10,10,6,0,10.0,0.8281745619189571,20,0,20,0.0,0.0067,0.993,1.0,0.0,1.3e3,1.0,0.8888647977261425,0.325,%{cpu_percent: 45.0; memory_mb: 512},990000,2000,3,5,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T15:23:13.232000Z,21,200,10,10,6,0,10.0,0.8191176859743945,20,0,20,0.0,0.0069,0.993,1.0,0.0,1.3e3,1.0,0.7393273002503259,0.33,%{cpu_percent: 45.0; memory_mb: 512},988000,2000,3,3,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T15:23:13.244000Z,6,200,10,10,6,0,10.0,0.8577854855407139,20,0,20,0.0,0.007,0.993,1.0,0.0,1.3e3,1.0,0.8618823325037476,0.335,%{cpu_percent: 45.0; memory_mb: 512},986000,2000,3,6,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T15:23:13.265000Z,5,200,10,10,6,0,10.0,0.8484975097553196,20,0,20,0.0,0.0089,0.991,1.0,0.0,1.3e3,1.0,0.8983987678213261,0.34,%{cpu_percent: 45.0; memory_mb: 512},984000,2000,3,5,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T15:23:13.290000Z,11,200,10,10,6,0,10.0,0.8932145070775129,20,0,20,0.0,0.0077,0.992,1.0,0.0,1.3e3,1.0,0.8991347753009038,0.345,%{cpu_percent: 45.0; memory_mb: 512},982000,2000,3,4,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T15:23:13.307000Z,7,200,10,10,6,0,10.0,0.8811446026687958,20,0,20,0.0,0.0062,0.994,1.0,0.0,1.3e3,1.0,0.7349604953902263,0.35,%{cpu_percent: 45.0; memory_mb: 512},980000,2000,3,7,20,civ_adapt_gen10,0,100.0,0.05
11,2026-06-30T15:23:13.327000Z,5,200,10,10,6,0,10.0,0.8522932108257485,20,2,18,0.1,0.0091,0.991,1.0,0.87,1.7e3,1.0,0.8381002032940513,0.355,%{cpu_percent: 45.0; memory_mb: 512},977000,3000,3,7,20,civ_adapt_gen11,0,100.0,0.05
12,2026-06-30T15:23:13.340000Z,6,200,10,10,6,0,10.0,0.8478846265191002,20,4,16,0.2,0.0065,0.994,1.0,3.32,2.1e3,1.0,0.7455265302495849,0.36,%{cpu_percent: 45.0; memory_mb: 512},973000,4000,3,5,20,civ_adapt_gen12,0,100.0,0.05
13,2026-06-30T15:23:13.362000Z,4,200,10,10,6,0,10.0,0.8146195055300728,20,4,16,0.2,0.0082,0.992,1.0,3.59,2.1e3,1.0,0.8894840640114817,0.365,%{cpu_percent: 45.0; memory_mb: 512},969000,4000,3,4,20,civ_adapt_gen13,0,100.0,0.05
14,2026-06-30T15:23:13.392000Z,12,200,10,10,6,0,10.0,0.8478271098531562,20,9,11,0.45,0.0069,0.993,1.0,16.64,3.1e3,1.0,0.7294742191218015,0.37,%{cpu_percent: 45.0; memory_mb: 512},962500,6500,3,8,20,civ_adapt_gen14,0,100.0,0.05
15,2026-06-30T15:23:13.404000Z,7,200,10,10,6,0,10.0,0.8708587996799233,20,9,11,0.45,0.0083,0.992,1.0,16.5,3.1e3,1.0,0.7149378731698326,0.375,%{cpu_percent: 45.0; memory_mb: 512},956000,6500,3,5,20,civ_adapt_gen15,0,100.0,0.05
16,2026-06-30T15:23:13.433000Z,7,200,10,10,6,0,10.0,0.9208288220295344,20,12,8,0.6,0.0078,0.992,1.0,30.7,3.7e3,1.0,0.7952384689770325,0.38,%{cpu_percent: 45.0; memory_mb: 512},948000,8000,3,5,20,civ_adapt_gen16,0,100.0,0.05
17,2026-06-30T15:23:13.444000Z,4,200,10,10,6,0,10.0,0.9340960381274261,20,14,6,0.7,0.0068,0.993,1.0,40.05,4.1e3,1.0,0.7205168536579578,0.385,%{cpu_percent: 45.0; memory_mb: 512},939000,9000,3,3,20,civ_adapt_gen17,0,100.0,0.05
18,2026-06-30T15:23:13.466000Z,5,200,10,10,6,0,10.0,0.9434101579912083,20,17,3,0.85,0.0077,0.992,1.0,58.44,4.7e3,1.0,0.7029373459634201,0.39,%{cpu_percent: 45.0; memory_mb: 512},928500,10500,3,7,20,civ_adapt_gen18,0,100.0,0.05
19,2026-06-30T15:23:13.490000Z,11,200,10,10,6,0,10.0,0.8214054272934801,20,20,0,1.0,0.0074,0.993,1.0,89.67,5.3e3,1.0,0.8878833384192424,0.395,%{cpu_percent: 45.0; memory_mb: 512},916500,12000,3,8,20,civ_adapt_gen19,0,100.0,0.05
20,2026-06-30T15:23:13.506000Z,6,200,10,10,6,0,10.0,0.8891476843156979,20,20,0,1.0,0.0057,0.994,1.0,82.86,5.3e3,1.0,0.7444930933900745,0.4,%{cpu_percent: 45.0; memory_mb: 512},904500,12000,3,4,20,civ_adapt_gen20,0,100.0,0.05
