generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T15:23:13.708000Z,10,200,10,10,6,0,10.0,0.8764171762698194,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7495799877706085,0.305,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen1,0,100.0,0.05
2,2026-06-30T15:23:13.777000Z,5,200,10,10,6,0,10.0,0.8474417722937699,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8179960088268207,0.31,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen2,0,100.0,0.05
3,2026-06-30T15:23:13.797000Z,5,200,10,10,6,0,10.0,0.8294172387895837,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.756036253641389,0.315,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen3,0,100.0,0.05
4,2026-06-30T15:23:13.837000Z,6,200,10,10,6,0,10.0,0.8992931746983652,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7042561040883445,0.32,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen4,0,100.0,0.05
5,2026-06-30T15:23:13.866000Z,6,200,10,10,6,0,10.0,0.8770991787994852,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7204841311538352,0.325,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen5,0,100.0,0.05
6,2026-06-30T15:23:13.889000Z,10,200,10,10,6,0,10.0,0.9468621492956689,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8395406685558039,0.33,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen6,0,100.0,0.05
7,2026-06-30T15:23:13.912000Z,4,200,10,10,6,0,10.0,0.8382309369969451,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7285509117565236,0.335,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen7,0,100.0,0.05
8,2026-06-30T15:23:14.014000Z,16,200,10,10,6,0,10.0,0.802781927100086,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7520515405458594,0.34,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen8,0,100.0,0.05
9,2026-06-30T15:23:14.076000Z,10,200,10,10,6,0,10.0,0.8338344888841236,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7639596388661655,0.345,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen9,0,100.0,0.05
10,2026-06-30T15:23:14.131000Z,7,200,10,10,6,0,10.0,0.9067029524822936,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8289034680230652,0.35,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen10,0,100.0,0.05
