generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T15:23:16.190000Z,14,300,15,15,9,0,15.0,0.9383687700704264,20,0,20,0.0,0.0062,0.994,1.0,0.0,1950.0,1.0,0.8688147361395225,0.305,%{cpu_percent: 45.0; memory_mb: 512},998000,2000,3,8,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T15:23:16.207000Z,6,300,15,15,9,0,15.0,0.9419992008639215,20,0,20,0.0,0.0077,0.992,1.0,0.0,1950.0,1.0,0.8029638255854928,0.31,%{cpu_percent: 45.0; memory_mb: 512},996000,2000,3,8,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T15:23:16.228000Z,7,300,15,15,9,0,15.0,0.8677506298360612,20,0,20,0.0,0.0073,0.993,1.0,0.0,1950.0,1.0,0.8519328406280391,0.315,%{cpu_percent: 45.0; memory_mb: 512},994000,2000,3,3,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T15:23:16.243000Z,6,300,15,15,9,0,15.0,0.8586728627495412,20,0,20,0.0,0.0066,0.993,1.0,0.0,1950.0,1.0,0.822067199258698,0.32,%{cpu_percent: 45.0; memory_mb: 512},992000,2000,3,4,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T15:23:16.268000Z,6,300,15,15,9,0,15.0,0.8422087026108879,20,0,20,0.0,0.0078,0.992,1.0,0.0,1950.0,1.0,0.8978722156441565,0.325,%{cpu_percent: 45.0; memory_mb: 512},990000,2000,3,8,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T15:23:16.290000Z,10,300,15,15,9,0,15.0,0.9165910203813266,20,0,20,0.0,0.0082,0.992,1.0,0.0,1950.0,1.0,0.7217177713636262,0.33,%{cpu_percent: 45.0; memory_mb: 512},988000,2000,3,6,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T15:23:16.314000Z,6,300,15,15,9,0,15.0,0.8583831353177,20,0,20,0.0,0.0076,0.992,1.0,0.0,1950.0,1.0,0.7957422592112033,0.335,%{cpu_percent: 45.0; memory_mb: 512},986000,2000,3,5,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T15:23:16.336000Z,12,300,15,15,9,0,15.0,0.8730738167901834,20,0,20,0.0,0.0068,0.993,1.0,0.0,1950.0,1.0,0.7153380560841487,0.34,%{cpu_percent: 45.0; memory_mb: 512},984000,2000,3,3,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T15:23:16.365000Z,22,300,15,15,9,0,15.0,0.899335438275298,20,0,20,0.0,0.0088,0.991,1.0,0.0,1950.0,1.0,0.8453760872262299,0.345,%{cpu_percent: 45.0; memory_mb: 512},982000,2000,3,6,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T15:23:16.381000Z,6,300,15,15,9,0,15.0,0.842239338559601,20,0,20,0.0,0.008,0.992,1.0,0.0,1950.0,1.0,0.7550698114290553,0.35,%{cpu_percent: 45.0; memory_mb: 512},980000,2000,3,4,20,civ_adapt_gen10,0,100.0,0.05
11,2026-06-30T15:23:16.405000Z,8,300,15,15,9,0,15.0,0.8396665568166948,20,2,18,0.1,0.0073,0.993,1.0,0.88,2350.0,1.0,0.8460937473443626,0.355,%{cpu_percent: 45.0; memory_mb: 512},977000,3000,3,4,20,civ_adapt_gen11,0,100.0,0.05
12,2026-06-30T15:23:16.429000Z,7,300,15,15,9,0,15.0,0.926254868983605,20,4,16,0.2,0.0058,0.994,1.0,3.45,2750.0,1.0,0.8160030445056494,0.36,%{cpu_percent: 45.0; memory_mb: 512},973000,4000,3,8,20,civ_adapt_gen12,0,100.0,0.05
13,2026-06-30T15:23:16.443000Z,7,300,15,15,9,0,15.0,0.829947939378668,20,6,14,0.3,0.0065,0.994,1.0,7.55,3150.0,1.0,0.7670151372335801,0.365,%{cpu_percent: 45.0; memory_mb: 512},968000,5000,3,8,20,civ_adapt_gen13,0,100.0,0.05
14,2026-06-30T15:23:16.472000Z,9,300,15,15,9,0,15.0,0.8221365655081948,20,9,11,0.45,0.0061,0.994,1.0,18.19,3750.0,1.0,0.8910220041542529,0.37,%{cpu_percent: 45.0; memory_mb: 512},961500,6500,3,8,20,civ_adapt_gen14,0,100.0,0.05
