generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T15:23:16.667000Z,4,300,15,15,9,0,15.0,0.803586375717954,0,0,0,0.0,,,,0.0,1950.0,0.0,0.7428461649149029,0.305,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen1,0,100.0,0.05
2,2026-06-30T15:23:16.691000Z,4,300,15,15,9,0,15.0,0.84203357784723,0,0,0,0.0,,,,0.0,1950.0,0.0,0.7023945996480249,0.31,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen2,0,100.0,0.05
3,2026-06-30T15:23:16.704000Z,3,300,15,15,9,0,15.0,0.8323891465015149,0,0,0,0.0,,,,0.0,1950.0,0.0,0.7219893236562829,0.315,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen3,0,100.0,0.05
4,2026-06-30T15:23:16.736000Z,3,300,15,15,9,0,15.0,0.8197881733298124,0,0,0,0.0,,,,0.0,1950.0,0.0,0.771037600031085,0.32,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen4,0,100.0,0.05
5,2026-06-30T15:23:16.744000Z,3,300,15,15,9,0,15.0,0.8519653786974719,0,0,0,0.0,,,,0.0,1950.0,0.0,0.7126609771361343,0.325,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen5,0,100.0,0.05
6,2026-06-30T15:23:16.772000Z,3,300,15,15,9,0,15.0,0.802856142717285,0,0,0,0.0,,,,0.0,1950.0,0.0,0.7976999115815746,0.33,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen6,0,100.0,0.05
7,2026-06-30T15:23:16.796000Z,3,300,15,15,9,0,15.0,0.8179496771975474,0,0,0,0.0,,,,0.0,1950.0,0.0,0.7574501903385421,0.335,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen7,0,100.0,0.05
8,2026-06-30T15:23:16.829000Z,3,300,15,15,9,0,15.0,0.907407821939373,0,0,0,0.0,,,,0.0,1950.0,0.0,0.8714056910468239,0.34,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen8,0,100.0,0.05
9,2026-06-30T15:23:16.838000Z,2,300,15,15,9,0,15.0,0.9467649902574681,0,0,0,0.0,,,,0.0,1950.0,0.0,0.7929185188086314,0.345,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen9,0,100.0,0.05
10,2026-06-30T15:23:16.868000Z,5,300,15,15,9,0,15.0,0.9128044232864201,0,0,0,0.0,,,,0.0,1950.0,0.0,0.7669009875520472,0.35,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen10,0,100.0,0.05
