generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T15:23:12.000000Z,9,200,10,10,6,0,10.0,0.8489179099990803,20,0,20,0.0,0.008,0.992,1.0,0.0,1.3e3,1.0,0.8835860138713753,0.305,%{cpu_percent: 45.0; memory_mb: 512},998000,2000,3,4,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T15:23:12.013000Z,7,200,10,10,6,0,10.0,0.9064228362803866,20,0,20,0.0,0.0083,0.992,1.0,0.0,1.3e3,1.0,0.7277135894570764,0.31,%{cpu_percent: 45.0; memory_mb: 512},996000,2000,3,7,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T15:23:12.037000Z,8,200,10,10,6,0,10.0,0.8689613751495827,20,0,20,0.0,0.0085,0.992,1.0,0.0,1.3e3,1.0,0.8745327245965482,0.315,%{cpu_percent: 45.0; memory_mb: 512},994000,2000,3,5,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T15:23:12.064000Z,12,200,10,10,6,0,10.0,0.8755868122463993,20,0,20,0.0,0.0078,0.992,1.0,0.0,1.3e3,1.0,0.7022283850237682,0.32,%{cpu_percent: 45.0; memory_mb: 512},992000,2000,3,8,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T15:23:12.081000Z,6,200,10,10,6,0,10.0,0.903552029444681,20,0,20,0.0,0.0082,0.992,1.0,0.0,1.3e3,1.0,0.8942496170640861,0.325,%{cpu_percent: 45.0; memory_mb: 512},990000,2000,3,3,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T15:23:12.112000Z,6,200,10,10,6,0,10.0,0.8763426963873547,20,0,20,0.0,0.0083,0.992,1.0,0.0,1.3e3,1.0,0.7552199142940187,0.33,%{cpu_percent: 45.0; memory_mb: 512},988000,2000,3,5,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T15:23:12.132000Z,5,200,10,10,6,0,10.0,0.8985479953575857,20,0,20,0.0,0.0059,0.994,1.0,0.0,1.3e3,1.0,0.7131210124767815,0.335,%{cpu_percent: 45.0; memory_mb: 512},986000,2000,3,3,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T15:23:12.153000Z,7,200,10,10,6,0,10.0,0.9240214540937841,20,0,20,0.0,0.0081,0.992,1.0,0.0,1.3e3,1.0,0.755720094001402,0.34,%{cpu_percent: 45.0; memory_mb: 512},984000,2000,3,5,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T15:23:12.180000Z,6,200,10,10,6,0,10.0,0.9345520170558497,20,0,20,0.0,0.0084,0.992,1.0,0.0,1.3e3,1.0,0.8598019862809374,0.345,%{cpu_percent: 45.0; memory_mb: 512},982000,2000,3,5,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T15:23:12.213000Z,12,200,10,10,6,0,10.0,0.844297488254504,20,0,20,0.0,0.0075,0.993,1.0,0.0,1.3e3,1.0,0.7808446045922736,0.35,%{cpu_percent: 45.0; memory_mb: 512},980000,2000,3,3,20,civ_adapt_gen10,0,100.0,0.05
11,2026-06-30T15:23:12.241000Z,8,200,10,10,6,0,10.0,0.8508738834126649,20,3,17,0.15,0.0071,0.993,1.0,1.96,1.9e3,1.0,0.8330780858023658,0.355,%{cpu_percent: 45.0; memory_mb: 512},976500,3500,3,6,20,civ_adapt_gen11,0,100.0,0.05
12,2026-06-30T15:23:12.265000Z,6,200,10,10,6,0,10.0,0.8495536606876556,20,4,16,0.2,0.0052,0.995,1.0,3.31,2.1e3,1.0,0.7430553666233803,0.36,%{cpu_percent: 45.0; memory_mb: 512},972500,4000,3,8,20,civ_adapt_gen12,0,100.0,0.05
13,2026-06-30T15:23:12.291000Z,10,200,10,10,6,0,10.0,0.8775185253043811,20,5,15,0.25,0.0078,0.992,1.0,5.52,2.3e3,1.0,0.8599839461816784,0.365,%{cpu_percent: 45.0; memory_mb: 512},968000,4500,3,6,20,civ_adapt_gen13,0,100.0,0.05
14,2026-06-30T15:23:12.321000Z,8,200,10,10,6,0,10.0,0.8981807544930779,20,5,15,0.25,0.0086,0.991,1.0,5.31,2.3e3,1.0,0.7874349446552842,0.37,%{cpu_percent: 45.0; memory_mb: 512},963500,4500,3,4,20,civ_adapt_gen14,0,100.0,0.05
15,2026-06-30T15:23:12.333000Z,5,200,10,10,6,0,10.0,0.9389456554628788,20,13,7,0.65,0.0065,0.994,1.0,35.71,3.9e3,1.0,0.7794984045289166,0.375,%{cpu_percent: 45.0; memory_mb: 512},955000,8500,3,4,20,civ_adapt_gen15,0,100.0,0.05
16,2026-06-30T15:23:12.361000Z,12,200,10,10,6,0,10.0,0.8909846748975209,20,13,7,0.65,0.007,0.993,1.0,34.17,3.9e3,1.0,0.7028923656776437,0.38,%{cpu_percent: 45.0; memory_mb: 512},946500,8500,3,8,20,civ_adapt_gen16,0,100.0,0.05
17,2026-06-30T15:23:12.395000Z,13,200,10,10,6,0,10.0,0.8644581404407378,20,14,6,0.7,0.0086,0.991,1.0,40.96,4.1e3,1.0,0.7599078784730785,0.385,%{cpu_percent: 45.0; memory_mb: 512},937500,9000,3,6,20,civ_adapt_gen17,0,100.0,0.05
18,2026-06-30T15:23:12.412000Z,8,200,10,10,6,0,10.0,0.849099659018312,20,13,7,0.65,0.0074,0.993,1.0,34.87,3.9e3,1.0,0.7374767908588259,0.39,%{cpu_percent: 45.0; memory_mb: 512},929000,8500,3,7,20,civ_adapt_gen18,0,100.0,0.05
19,2026-06-30T15:23:12.437000Z,6,200,10,10,6,0,10.0,0.8537021784734524,20,20,0,1.0,0.0068,0.993,1.0,83.71,5.3e3,1.0,0.7622979644126721,0.395,%{cpu_percent: 45.0; memory_mb: 512},917000,12000,3,4,20,civ_adapt_gen19,0,100.0,0.05
20,2026-06-30T15:23:12.465000Z,6,200,10,10,6,0,10.0,0.9281457768646603,20,20,0,1.0,0.0085,0.992,1.0,86.0,5.3e3,1.0,0.8104763504088304,0.4,%{cpu_percent: 45.0; memory_mb: 512},905000,12000,3,3,20,civ_adapt_gen20,0,100.0,0.05
