generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T15:23:12.510000Z,2,200,10,10,6,0,10.0,0.8955749717233155,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7854394028363642,0.305,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen1,0,100.0,0.05
2,2026-06-30T15:23:12.567000Z,5,200,10,10,6,0,10.0,0.8758630083910642,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7328177259046365,0.31,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen2,0,100.0,0.05
3,2026-06-30T15:23:12.583000Z,5,200,10,10,6,0,10.0,0.9107456317149004,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8644928121561976,0.315,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen3,0,100.0,0.05
4,2026-06-30T15:23:12.633000Z,7,200,10,10,6,0,10.0,0.8615486799194879,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8294403533770184,0.32,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen4,0,100.0,0.05
5,2026-06-30T15:23:12.663000Z,11,200,10,10,6,0,10.0,0.8425959433719418,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7313796578433577,0.325,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen5,0,100.0,0.05
6,2026-06-30T15:23:12.698000Z,4,200,10,10,6,0,10.0,0.9354348301932048,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8090553124524209,0.33,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen6,0,100.0,0.05
7,2026-06-30T15:23:12.714000Z,6,200,10,10,6,0,10.0,0.8759951902001598,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.701707264904424,0.335,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen7,0,100.0,0.05
8,2026-06-30T15:23:12.746000Z,3,200,10,10,6,0,10.0,0.8268302326133434,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7323201723104664,0.34,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen8,0,100.0,0.05
9,2026-06-30T15:23:12.770000Z,5,200,10,10,6,0,10.0,0.8124203414288952,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.803301167919443,0.345,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen9,0,100.0,0.05
10,2026-06-30T15:23:12.800000Z,4,200,10,10,6,0,10.0,0.8647357680012712,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8443529577691945,0.35,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen10,0,100.0,0.05
11,2026-06-30T15:23:12.830000Z,5,200,10,10,6,0,10.0,0.9412250573183852,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.875651008877467,0.355,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen11,0,100.0,0.05
12,2026-06-30T15:23:12.857000Z,10,200,10,10,6,0,10.0,0.9322348075842743,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7283637056650136,0.36,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen12,0,100.0,0.05
13,2026-06-30T15:23:12.879000Z,5,200,10,10,6,0,10.0,0.9190308524984178,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7297179664344291,0.365,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen13,0,100.0,0.05
14,2026-06-30T15:23:12.922000Z,16,200,10,10,6,0,10.0,0.8594774090513951,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8034969998787144,0.37,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen14,0,100.0,0.05
15,2026-06-30T15:23:12.936000Z,4,200,10,10,6,0,10.0,0.9296830110236787,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7842948925516028,0.375,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen15,0,100.0,0.05
16,2026-06-30T15:23:12.961000Z,4,200,10,10,6,0,10.0,0.9143184163481838,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.737748281641025,0.38,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen16,0,100.0,0.05
17,2026-06-30T15:23:12.982000Z,4,200,10,10,6,0,10.0,0.8886119088477064,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.844025694254081,0.385,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen17,0,100.0,0.05
18,2026-06-30T15:23:13.005000Z,5,200,10,10,6,0,10.0,0.9060153959253469,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7893616732873492,0.39,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen18,0,100.0,0.05
19,2026-06-30T15:23:13.028000Z,2,200,10,10,6,0,10.0,0.8136330391590668,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8487510306806729,0.395,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen19,0,100.0,0.05
20,2026-06-30T15:23:13.049000Z,5,200,10,10,6,0,10.0,0.9368995406782081,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7849503818455641,0.4,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen20,0,100.0,0.05
