generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T15:23:15.326000Z,12,400,20,20,12,0,20.0,0.8591964507849909,20,0,20,0.0,0.0084,0.992,1.0,0.0,2.6e3,1.0,0.7319921704719465,0.305,%{cpu_percent: 45.0; memory_mb: 512},998000,2000,3,4,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T15:23:15.341000Z,7,400,20,20,12,0,20.0,0.9282390452990905,20,0,20,0.0,0.0085,0.992,1.0,0.0,2.6e3,1.0,0.8602947253913719,0.31,%{cpu_percent: 45.0; memory_mb: 512},996000,2000,3,3,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T15:23:15.373000Z,10,400,20,20,12,0,20.0,0.8470686855864472,20,0,20,0.0,0.0086,0.991,1.0,0.0,2.6e3,1.0,0.7128549221897225,0.315,%{cpu_percent: 45.0; memory_mb: 512},994000,2000,3,4,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T15:23:15.395000Z,6,400,20,20,12,0,20.0,0.935812282180534,20,0,20,0.0,0.0066,0.993,1.0,0.0,2.6e3,1.0,0.7505690643791278,0.32,%{cpu_percent: 45.0; memory_mb: 512},992000,2000,3,7,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T15:23:15.410000Z,5,400,20,20,12,0,20.0,0.9121043124311853,20,0,20,0.0,0.0064,0.994,1.0,0.0,2.6e3,1.0,0.7096567129894955,0.325,%{cpu_percent: 45.0; memory_mb: 512},990000,2000,3,3,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T15:23:15.429000Z,6,400,20,20,12,0,20.0,0.9262421570763556,20,0,20,0.0,0.0057,0.994,1.0,0.0,2.6e3,1.0,0.7653697002895216,0.33,%{cpu_percent: 45.0; memory_mb: 512},988000,2000,3,3,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T15:23:15.457000Z,14,400,20,20,12,0,20.0,0.8712449421358613,20,0,20,0.0,0.0075,0.993,1.0,0.0,2.6e3,1.0,0.808197817506759,0.335,%{cpu_percent: 45.0; memory_mb: 512},986000,2000,3,3,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T15:23:15.472000Z,7,400,20,20,12,0,20.0,0.8951293887558294,20,0,20,0.0,0.0082,0.992,1.0,0.0,2.6e3,1.0,0.757220014981829,0.34,%{cpu_percent: 45.0; memory_mb: 512},984000,2000,3,7,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T15:23:15.495000Z,8,400,20,20,12,0,20.0,0.9447614449844007,20,0,20,0.0,0.0062,0.994,1.0,0.0,2.6e3,1.0,0.7795541592756148,0.345,%{cpu_percent: 45.0; memory_mb: 512},982000,2000,3,4,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T15:23:15.512000Z,7,400,20,20,12,0,20.0,0.8392871344106129,20,0,20,0.0,0.0079,0.992,1.0,0.0,2.6e3,1.0,0.8735525911205191,0.35,%{cpu_percent: 45.0; memory_mb: 512},980000,2000,3,7,20,civ_adapt_gen10,0,100.0,0.05
11,2026-06-30T15:23:15.527000Z,5,400,20,20,12,0,20.0,0.8333052042238336,20,6,14,0.3,0.0063,0.994,1.0,7.29,3.8e3,1.0,0.7047769283548473,0.355,%{cpu_percent: 45.0; memory_mb: 512},975000,5000,3,6,20,civ_adapt_gen11,0,100.0,0.05
12,2026-06-30T15:23:15.558000Z,17,400,20,20,12,0,20.0,0.9240218145527366,20,0,20,0.0,0.0079,0.992,1.0,0.0,2.6e3,1.0,0.8324244051306702,0.36,%{cpu_percent: 45.0; memory_mb: 512},973000,2000,3,7,20,civ_adapt_gen12,0,100.0,0.05
13,2026-06-30T15:23:15.573000Z,10,400,20,20,12,0,20.0,0.898079082644359,20,6,14,0.3,0.0086,0.991,1.0,7.87,3.8e3,1.0,0.8405887603435069,0.365,%{cpu_percent: 45.0; memory_mb: 512},968000,5000,3,6,20,civ_adapt_gen13,0,100.0,0.05
14,2026-06-30T15:23:15.598000Z,7,400,20,20,12,0,20.0,0.8516825778254352,20,8,12,0.4,0.0056,0.994,1.0,13.08,4.2e3,1.0,0.7208443554920224,0.37,%{cpu_percent: 45.0; memory_mb: 512},962000,6000,3,8,20,civ_adapt_gen14,0,100.0,0.05
15,2026-06-30T15:23:15.614000Z,8,400,20,20,12,0,20.0,0.8668554046542881,20,11,9,0.55,0.0082,0.992,1.0,25.47,4.8e3,1.0,0.7723838522115735,0.375,%{cpu_percent: 45.0; memory_mb: 512},954500,7500,3,5,20,civ_adapt_gen15,0,100.0,0.05
16,2026-06-30T15:23:15.634000Z,8,400,20,20,12,0,20.0,0.8772956816721288,20,9,11,0.45,0.0061,0.994,1.0,18.06,4.4e3,1.0,0.8779117181276298,0.38,%{cpu_percent: 45.0; memory_mb: 512},948000,6500,3,7,20,civ_adapt_gen16,0,100.0,0.05
17,2026-06-30T15:23:15.658000Z,14,400,20,20,12,0,20.0,0.8277024363424664,20,14,6,0.7,0.0067,0.993,1.0,39.69,5.4e3,1.0,0.7051992483785251,0.385,%{cpu_percent: 45.0; memory_mb: 512},939000,9000,3,7,20,civ_adapt_gen17,0,100.0,0.05
18,2026-06-30T15:23:15.678000Z,10,400,20,20,12,0,20.0,0.896248367424388,20,16,4,0.8,0.0063,0.994,1.0,55.29,5.8e3,1.0,0.8187163943600597,0.39,%{cpu_percent: 45.0; memory_mb: 512},929000,10000,3,7,20,civ_adapt_gen18,0,100.0,0.05
19,2026-06-30T15:23:15.694000Z,5,400,20,20,12,0,20.0,0.9365394796050713,20,18,2,0.9,0.007,0.993,1.0,71.2,6.2e3,1.0,0.8505600909447699,0.395,%{cpu_percent: 45.0; memory_mb: 512},918000,11000,3,7,20,civ_adapt_gen19,0,100.0,0.05
20,2026-06-30T15:23:15.717000Z,10,400,20,20,12,0,20.0,0.9271391036914785,20,20,0,1.0,0.0075,0.993,1.0,81.08,6.6e3,1.0,0.7069384103479418,0.4,%{cpu_percent: 45.0; memory_mb: 512},906000,12000,3,5,20,civ_adapt_gen20,0,100.0,0.05
