generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T15:23:15.767000Z,9,400,20,20,12,0,20.0,0.8857502234692745,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.8931524813669276,0.305,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen1,0,100.0,0.05
2,2026-06-30T15:23:15.776000Z,3,400,20,20,12,0,20.0,0.8052999354770511,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.7513262708386079,0.31,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen2,0,100.0,0.05
3,2026-06-30T15:23:15.805000Z,3,400,20,20,12,0,20.0,0.8036636865614731,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.7024817677417838,0.315,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen3,0,100.0,0.05
4,2026-06-30T15:23:15.823000Z,8,400,20,20,12,0,20.0,0.9218722103236452,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.705111441809961,0.32,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen4,0,100.0,0.05
5,2026-06-30T15:23:15.839000Z,3,400,20,20,12,0,20.0,0.922580030435645,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.7590111535577597,0.325,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen5,0,100.0,0.05
6,2026-06-30T15:23:15.859000Z,11,400,20,20,12,0,20.0,0.9065306546423789,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.7036202363748959,0.33,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen6,0,100.0,0.05
7,2026-06-30T15:23:15.887000Z,17,400,20,20,12,0,20.0,0.8127757041134003,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.7242400678877101,0.335,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen7,0,100.0,0.05
8,2026-06-30T15:23:15.903000Z,3,400,20,20,12,0,20.0,0.9017787876079122,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.8046217047392559,0.34,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen8,0,100.0,0.05
9,2026-06-30T15:23:15.911000Z,3,400,20,20,12,0,20.0,0.8032873376611712,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.8536025746801851,0.345,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen9,0,100.0,0.05
10,2026-06-30T15:23:15.934000Z,3,400,20,20,12,0,20.0,0.8991736136877978,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.7231850007437646,0.35,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen10,0,100.0,0.05
11,2026-06-30T15:23:15.943000Z,2,400,20,20,12,0,20.0,0.844474538208385,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.8717348789178168,0.355,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen11,0,100.0,0.05
12,2026-06-30T15:23:15.963000Z,3,400,20,20,12,0,20.0,0.8118253527549631,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.8035683548392504,0.36,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen12,0,100.0,0.05
13,2026-06-30T15:23:15.994000Z,3,400,20,20,12,0,20.0,0.8331527141255229,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.7988505435832705,0.365,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen13,0,100.0,0.05
14,2026-06-30T15:23:16.013000Z,3,400,20,20,12,0,20.0,0.8420791885285688,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.8558176316356862,0.37,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen14,0,100.0,0.05
15,2026-06-30T15:23:16.027000Z,3,400,20,20,12,0,20.0,0.928779353756759,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.853292958681659,0.375,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen15,0,100.0,0.05
16,2026-06-30T15:23:16.047000Z,3,400,20,20,12,0,20.0,0.8396635193984884,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.8281704588517025,0.38,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen16,0,100.0,0.05
17,2026-06-30T15:23:16.068000Z,4,400,20,20,12,0,20.0,0.8127029225020322,0,0,0,0.0,,,,0.0,2.6e3,0.0,0.7078765495806664,0.385,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen17,0,100.0,0.05
