generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T15:23:06.271000Z,14,200,10,10,6,0,10.0,0.8261921428401294,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8117177595024349,0.305,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen1,0,100.0,0.05
2,2026-06-30T15:23:06.283000Z,3,200,10,10,6,0,10.0,0.8527079717836308,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8831321381494535,0.31,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen2,0,100.0,0.05
3,2026-06-30T15:23:06.304000Z,3,200,10,10,6,0,10.0,0.914379066478414,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8238873983189281,0.315,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen3,0,100.0,0.05
4,2026-06-30T15:23:06.341000Z,3,200,10,10,6,0,10.0,0.8788837410887701,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7822901278085532,0.32,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen4,0,100.0,0.05
5,2026-06-30T15:23:06.366000Z,9,200,10,10,6,0,10.0,0.8476659227403046,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7704662234622641,0.325,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen5,0,100.0,0.05
6,2026-06-30T15:23:06.390000Z,3,200,10,10,6,0,10.0,0.826581327200125,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7872073096560304,0.33,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen6,0,100.0,0.05
7,2026-06-30T15:23:06.419000Z,4,200,10,10,6,0,10.0,0.9354965005677057,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8161830287807221,0.335,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen7,0,100.0,0.05
8,2026-06-30T15:23:06.446000Z,6,200,10,10,6,0,10.0,0.8542439530336158,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.7157546426987783,0.34,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen8,0,100.0,0.05
9,2026-06-30T15:23:06.474000Z,4,200,10,10,6,0,10.0,0.8247358204113691,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.8574912193907664,0.345,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen9,0,100.0,0.05
10,2026-06-30T15:23:06.502000Z,4,200,10,10,6,0,10.0,0.8205027159631932,0,0,0,0.0,,,,0.0,1.3e3,0.0,0.848782163690719,0.35,%{cpu_percent: 45.0; memory_mb: 512},1000000,0,3,0,0,static_gen10,0,100.0,0.05
