generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T10:42:48.509000Z,17,200,10,10,6,0,10.0,0.8115223526666027,20,0,20,0.0,0.0083,0.992,1.0,0.0,1.3e3,1.0,0.870389088789974,0.305,%{cpu_percent: 45.0; memory_mb: 512},998000,2000,3,6,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T10:42:48.537000Z,7,200,10,10,6,0,10.0,0.9168500096137291,20,0,20,0.0,0.007,0.993,1.0,0.0,1.3e3,1.0,0.7814599564486725,0.31,%{cpu_percent: 45.0; memory_mb: 512},996000,2000,3,7,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T10:42:48.557000Z,4,200,10,10,6,0,10.0,0.9034722016184666,20,0,20,0.0,0.008,0.992,1.0,0.0,1.3e3,1.0,0.8014248234199042,0.315,%{cpu_percent: 45.0; memory_mb: 512},994000,2000,3,8,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T10:42:48.572000Z,2,200,10,10,6,0,10.0,0.8041611704443619,20,0,20,0.0,0.0067,0.993,1.0,0.0,1.3e3,1.0,0.7591912894291698,0.32,%{cpu_percent: 45.0; memory_mb: 512},992000,2000,3,4,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T10:42:48.597000Z,2,200,10,10,6,0,10.0,0.9346980282158809,20,0,20,0.0,0.0078,0.992,1.0,0.0,1.3e3,1.0,0.7098278692963512,0.325,%{cpu_percent: 45.0; memory_mb: 512},990000,2000,3,7,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T10:42:48.627000Z,16,200,10,10,6,0,10.0,0.852693967175648,20,0,20,0.0,0.0069,0.993,1.0,0.0,1.3e3,1.0,0.7866415407024965,0.33,%{cpu_percent: 45.0; memory_mb: 512},988000,2000,3,7,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T10:42:48.645000Z,16,200,10,10,6,0,10.0,0.8571313233670868,20,0,20,0.0,0.0081,0.992,1.0,0.0,1.3e3,1.0,0.8676562806193696,0.335,%{cpu_percent: 45.0; memory_mb: 512},986000,2000,3,5,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T10:42:48.658000Z,2,200,10,10,6,0,10.0,0.8082179128106132,20,0,20,0.0,0.0083,0.992,1.0,0.0,1.3e3,1.0,0.8200964113003424,0.34,%{cpu_percent: 45.0; memory_mb: 512},984000,2000,3,6,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T10:42:48.674000Z,4,200,10,10,6,0,10.0,0.8965016381997196,20,0,20,0.0,0.0073,0.993,1.0,0.0,1.3e3,1.0,0.866948570050621,0.345,%{cpu_percent: 45.0; memory_mb: 512},982000,2000,3,8,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T10:42:48.704000Z,8,200,10,10,6,0,10.0,0.8155498363731827,20,0,20,0.0,0.0086,0.991,1.0,0.0,1.3e3,1.0,0.8722979483963805,0.35,%{cpu_percent: 45.0; memory_mb: 512},980000,2000,3,7,20,civ_adapt_gen10,0,100.0,0.05
11,2026-06-30T10:42:48.754000Z,2,200,10,10,6,0,10.0,0.8806041288534855,20,2,18,0.1,0.0097,0.99,1.0,0.9,1.7e3,1.0,0.8861280367772978,0.355,%{cpu_percent: 45.0; memory_mb: 512},977000,3000,3,5,20,civ_adapt_gen11,0,100.0,0.05
12,2026-06-30T10:42:48.778000Z,3,200,10,10,6,0,10.0,0.9188755473024262,20,6,14,0.3,0.0074,0.993,1.0,7.67,2.5e3,1.0,0.7951672520703865,0.36,%{cpu_percent: 45.0; memory_mb: 512},972000,5000,3,5,20,civ_adapt_gen12,0,100.0,0.05
13,2026-06-30T10:42:48.789000Z,2,200,10,10,6,0,10.0,0.8934868480118309,20,6,14,0.3,0.0073,0.993,1.0,7.45,2.5e3,1.0,0.743026264476612,0.365,%{cpu_percent: 45.0; memory_mb: 512},967000,5000,3,4,20,civ_adapt_gen13,0,100.0,0.05
14,2026-06-30T10:42:48.809000Z,2,200,10,10,6,0,10.0,0.8002209750727127,20,7,13,0.35,0.0078,0.992,1.0,10.13,2.7e3,1.0,0.7405097488254373,0.37,%{cpu_percent: 45.0; memory_mb: 512},961500,5500,3,5,20,civ_adapt_gen14,0,100.0,0.05
15,2026-06-30T10:42:48.878000Z,2,200,10,10,6,0,10.0,0.9015585146494391,20,7,13,0.35,0.0095,0.991,1.0,10.2,2.7e3,1.0,0.7528888241028995,0.375,%{cpu_percent: 45.0; memory_mb: 512},956000,5500,3,3,20,civ_adapt_gen15,0,100.0,0.05
16,2026-06-30T10:42:48.904000Z,12,200,10,10,6,0,10.0,0.8772029900384223,20,15,5,0.75,0.0074,0.993,1.0,50.44,4.3e3,1.0,0.8879774333545785,0.38,%{cpu_percent: 45.0; memory_mb: 512},946500,9500,3,4,20,civ_adapt_gen16,0,100.0,0.05
17,2026-06-30T10:42:48.919000Z,10,200,10,10,6,0,10.0,0.8055840092827479,20,18,2,0.9,0.0082,0.992,1.0,66.36,4.9e3,1.0,0.7247168072038099,0.385,%{cpu_percent: 45.0; memory_mb: 512},935500,11000,3,6,20,civ_adapt_gen17,0,100.0,0.05
18,2026-06-30T10:42:48.929000Z,2,200,10,10,6,0,10.0,0.9188564340883663,20,14,6,0.7,0.0066,0.993,1.0,41.5,4.1e3,1.0,0.7829594108522245,0.39,%{cpu_percent: 45.0; memory_mb: 512},926500,9000,3,6,20,civ_adapt_gen18,0,100.0,0.05
19,2026-06-30T10:42:48.951000Z,2,200,10,10,6,0,10.0,0.939640304352224,20,19,1,0.95,0.0074,0.993,1.0,74.27,5.1e3,1.0,0.7323934875367458,0.395,%{cpu_percent: 45.0; memory_mb: 512},915000,11500,3,7,20,civ_adapt_gen19,0,100.0,0.05
20,2026-06-30T10:42:48.975000Z,14,200,10,10,6,0,10.0,0.8508648502757676,20,20,0,1.0,0.0078,0.992,1.0,83.34,5.3e3,1.0,0.7544670910939859,0.4,%{cpu_percent: 45.0; memory_mb: 512},903000,12000,3,7,20,civ_adapt_gen20,0,100.0,0.05
21,2026-06-30T10:42:49.006000Z,11,200,10,10,6,0,10.0,0.9365527586134434,20,20,0,1.0,0.0066,0.993,1.0,80.76,5.3e3,1.0,0.7002318355074446,0.405,%{cpu_percent: 45.0; memory_mb: 512},891000,12000,3,8,20,civ_adapt_gen21,0,100.0,0.05
22,2026-06-30T10:42:49.023000Z,5,200,10,10,6,0,10.0,0.8123661614917524,20,20,0,1.0,0.0061,0.994,1.0,88.74,5.3e3,1.0,0.8681081573780907,0.41,%{cpu_percent: 45.0; memory_mb: 512},879000,12000,3,4,20,civ_adapt_gen22,0,100.0,0.05
23,2026-06-30T10:42:49.038000Z,2,200,10,10,6,0,10.0,0.8473208509257492,20,20,0,1.0,0.0072,0.993,1.0,84.28,5.3e3,1.0,0.7742428712133511,0.415,%{cpu_percent: 45.0; memory_mb: 512},867000,12000,3,3,20,civ_adapt_gen23,0,100.0,0.05
24,2026-06-30T10:42:49.059000Z,2,200,10,10,6,0,10.0,0.9059693924132725,20,20,0,1.0,0.0069,0.993,1.0,83.97,5.3e3,1.0,0.7678612405959819,0.42,%{cpu_percent: 45.0; memory_mb: 512},855000,12000,3,6,20,civ_adapt_gen24,0,100.0,0.05
25,2026-06-30T10:42:49.080000Z,5,200,10,10,6,0,10.0,0.8151298861071846,20,20,0,1.0,0.008,0.992,1.0,85.69,5.3e3,1.0,0.8040476390613335,0.425,%{cpu_percent: 45.0; memory_mb: 512},843000,12000,3,3,20,civ_adapt_gen25,0,100.0,0.05
26,2026-06-30T10:42:49.094000Z,6,200,10,10,6,0,10.0,0.9304275850886374,20,20,0,1.0,0.0064,0.994,1.0,84.41,5.3e3,1.0,0.7770685899376969,0.43,%{cpu_percent: 45.0; memory_mb: 512},831000,12000,3,5,20,civ_adapt_gen26,0,100.0,0.05
27,2026-06-30T10:42:49.122000Z,4,200,10,10,6,0,10.0,0.8054272911060505,20,20,0,1.0,0.0072,0.993,1.0,87.6,5.3e3,1.0,0.8442590021899071,0.435,%{cpu_percent: 45.0; memory_mb: 512},819000,12000,3,4,20,civ_adapt_gen27,0,100.0,0.05
28,2026-06-30T10:42:49.158000Z,14,200,10,10,6,0,10.0,0.8643132859462024,20,20,0,1.0,0.008,0.992,1.0,88.46,5.3e3,1.0,0.8622612352159273,0.44,%{cpu_percent: 45.0; memory_mb: 512},807000,12000,3,7,20,civ_adapt_gen28,0,100.0,0.05
29,2026-06-30T10:42:49.163000Z,2,200,10,10,6,0,10.0,0.8211983522468863,20,20,0,1.0,0.0076,0.992,1.0,85.22,5.3e3,1.0,0.7940126708904327,0.445,%{cpu_percent: 45.0; memory_mb: 512},795000,12000,3,6,20,civ_adapt_gen29,0,100.0,0.05
30,2026-06-30T10:42:49.187000Z,2,200,10,10,6,0,10.0,0.940412421861013,20,20,0,1.0,0.0066,0.993,1.0,89.73,5.3e3,1.0,0.8889532177568231,0.45,%{cpu_percent: 45.0; memory_mb: 512},783000,12000,3,7,20,civ_adapt_gen30,0,100.0,0.05
31,2026-06-30T10:42:49.209000Z,6,200,10,10,6,0,10.0,0.9439378633543443,20,20,0,1.0,0.0079,0.992,1.0,89.31,5.3e3,1.0,0.8802236478874395,0.455,%{cpu_percent: 45.0; memory_mb: 512},771000,12000,3,4,20,civ_adapt_gen31,0,100.0,0.05
32,2026-06-30T10:42:49.237000Z,14,200,10,10,6,0,10.0,0.8754419763153116,20,20,0,1.0,0.0067,0.993,1.0,87.42,5.3e3,1.0,0.8403533987074784,0.46,%{cpu_percent: 45.0; memory_mb: 512},759000,12000,3,7,20,civ_adapt_gen32,0,100.0,0.05
33,2026-06-30T10:42:49.241000Z,2,200,10,10,6,0,10.0,0.815773059189677,20,20,0,1.0,0.0082,0.992,1.0,83.13,5.3e3,1.0,0.7501483214179634,0.465,%{cpu_percent: 45.0; memory_mb: 512},747000,12000,3,8,20,civ_adapt_gen33,0,100.0,0.05
34,2026-06-30T10:42:49.258000Z,4,200,10,10,6,0,10.0,0.8396186505762678,20,20,0,1.0,0.0085,0.992,1.0,87.81,5.3e3,1.0,0.8487251305944059,0.47,%{cpu_percent: 45.0; memory_mb: 512},735000,12000,3,6,20,civ_adapt_gen34,0,100.0,0.05
35,2026-06-30T10:42:49.285000Z,11,200,10,10,6,0,10.0,0.8101261636512644,20,20,0,1.0,0.0084,0.992,1.0,87.53,5.3e3,1.0,0.8426783328692349,0.475,%{cpu_percent: 45.0; memory_mb: 512},723000,12000,3,8,20,civ_adapt_gen35,0,100.0,0.05
36,2026-06-30T10:42:49.293000Z,2,200,10,10,6,0,10.0,0.8477128514261462,20,20,0,1.0,0.0063,0.994,1.0,88.31,5.3e3,1.0,0.8590864378766276,0.48,%{cpu_percent: 45.0; memory_mb: 512},711000,12000,3,7,20,civ_adapt_gen36,0,100.0,0.05
37,2026-06-30T10:42:49.313000Z,7,200,10,10,6,0,10.0,0.8950177454797891,20,20,0,1.0,0.005,0.995,1.0,85.32,5.3e3,1.0,0.7961875914592244,0.485,%{cpu_percent: 45.0; memory_mb: 512},699000,12000,3,6,20,civ_adapt_gen37,0,100.0,0.05
38,2026-06-30T10:42:49.326000Z,3,200,10,10,6,0,10.0,0.9488058639809822,20,20,0,1.0,0.0078,0.992,1.0,90.21,5.3e3,1.0,0.8991438964444962,0.49,%{cpu_percent: 45.0; memory_mb: 512},687000,12000,3,6,20,civ_adapt_gen38,0,100.0,0.05
39,2026-06-30T10:42:49.347000Z,7,200,10,10,6,0,10.0,0.8656846731879504,20,20,0,1.0,0.009,0.991,1.0,85.73,5.3e3,1.0,0.8049292584252132,0.495,%{cpu_percent: 45.0; memory_mb: 512},675000,12000,3,3,20,civ_adapt_gen39,0,100.0,0.05
40,2026-06-30T10:42:49.364000Z,4,200,10,10,6,0,10.0,0.848771112527254,20,20,0,1.0,0.0087,0.991,1.0,89.08,5.3e3,1.0,0.8753495471033146,0.5,%{cpu_percent: 45.0; memory_mb: 512},663000,12000,3,3,20,civ_adapt_gen40,0,100.0,0.05
