tick,timestamp,total_nodes,average_theory_confidence,active_discoveries,retired_discoveries,active_programs,suspended_programs,total_dependency_events,recovery_rate,epistemic_stability,epistemic_shock_score,knowledge_velocity
1000,1786670662901,1000,0.6771161162307456,500,0,500,0,42017,1.0,0.5804329598056714,0.0,0.0
2000,1786670663547,1000,0.5779319326809584,500,0,500,0,74033,1.0,0.3274237765734874,0.0,0.0
3000,1786670664175,1000,0.5076842384314809,500,0,500,0,115050,1.0,0.1850139530218594,0.0,0.0
4000,1786670664750,1000,0.46077912778798713,500,0,500,0,147065,1.0,0.08989157762554134,0.0,0.0
5000,1786670665195,1000,0.43820845655643703,500,0,500,0,177083,1.0,0.0809733929557126,0.0,0.0
6000,1786670666954,1000,0.41024128308821806,500,0,500,0,220091,1.0,0.06715571543037047,0.0,0.0
7000,1786670667844,1000,0.38610784051338964,500,0,500,0,254098,1.0,0.06240513106167822,0.0,0.0
8000,1786670669426,1000,0.3549327428568765,500,0,500,0,307108,1.0,0.0649721485132877,0.0,0.0
9000,1786670670723,1000,0.34059292707938565,500,0,500,0,341129,1.0,0.08443214706290703,0.0,0.0
10000,1786670672402,1000,0.32769244996916524,500,0,500,0,379149,1.0,0.09396556538876233,0.0,0.0
