epoch,novelty_rate,novelty_source_count,genome_entropy,domain_entropy,extinctions,total_knowledge,is_monoculture
1,2,5,0.0,0.0,0,2,true
2,-1,5,0.0,0.0,0,1,true
3,9,5,0.0,0.0,0,10,true
4,-1,5,0.0,0.0,0,9,true
5,1,5,0.0,0.0,0,10,true
6,-8,5,0.0,0.0,0,2,true
7,8,5,0.0,0.0,0,10,true
8,-6,5,0.0,0.0,0,4,true
9,-3,5,0.0,0.0,0,1,true
10,7,5,0.0,0.0,0,8,true
11,2,5,0.0,0.0,0,10,true
12,-7,5,0.0,0.0,0,3,true
13,3,5,0.0,0.0,0,6,true
14,3,5,0.0,0.0,0,9,true
15,-3,5,0.0,0.0,0,6,true
16,1,5,0.0,0.0,0,7,true
17,-1,5,0.0,0.0,0,6,true
18,-3,5,0.0,0.0,0,3,true
19,7,5,0.0,0.0,0,10,true
20,-9,5,0.0,0.0,0,1,true
21,2,5,0.0,0.0,0,3,true
22,5,5,0.0,0.0,0,8,true
23,-3,4,0.0,0.0,0,5,true
24,-4,5,0.0,0.0,0,1,true
25,9,5,0.0,0.0,0,10,true
26,-2,5,0.0,0.0,0,8,true
27,-4,5,0.0,0.0,0,4,true
28,-2,5,0.0,0.0,0,2,true
29,6,5,0.0,0.0,0,8,true
30,2,5,0.0,0.0,0,10,true
31,-2,5,0.0,0.0,0,8,true
32,-4,5,0.0,0.0,0,4,true
33,-2,4,0.0,0.0,0,2,true
34,-1,5,0.0,0.0,0,1,true
35,7,5,0.0,0.0,0,8,true
36,-5,4,0.0,0.0,0,3,true
37,1,5,0.0,0.0,0,4,true
38,1,5,0.0,0.0,0,5,true
39,2,5,0.0,0.0,0,7,true
40,2,5,0.0,0.0,0,9,true
41,0,5,0.0,0.0,0,9,true
42,-5,5,0.0,0.0,0,4,true
43,-3,5,0.0,0.0,0,1,true
44,2,5,0.0,0.0,0,3,true
45,2,4,0.0,0.0,0,5,true
46,3,5,0.0,0.0,0,8,true
47,-5,5,0.0,0.0,0,3,true
48,5,5,0.0,0.0,0,8,true
49,1,5,0.0,0.0,0,9,true
50,-1,5,0.0,0.0,0,8,true
51,-1,5,0.0,0.0,0,7,true
52,2,4,0.0,0.0,0,9,true
53,1,4,0.0,0.0,0,10,true
54,-3,5,0.0,0.0,0,7,true
55,-5,4,0.0,0.0,0,2,true
56,2,5,0.0,0.0,0,4,true
57,4,5,0.0,0.0,0,8,true
58,-3,5,0.0,0.0,0,5,true
59,-4,5,0.0,0.0,0,1,true
60,1,5,0.0,0.0,0,2,true
61,6,5,0.0,0.0,0,8,true
62,2,5,0.0,0.0,0,10,true
63,-4,5,0.0,0.0,0,6,true
64,1,5,0.0,0.0,0,7,true
65,-4,5,0.0,0.0,0,3,true
66,0,5,0.0,0.0,0,3,true
67,1,5,0.0,0.0,0,4,true
68,5,5,0.0,0.0,0,9,true
69,-8,5,0.0,0.0,0,1,true
70,7,5,0.0,0.0,0,8,true
71,2,5,0.0,0.0,0,10,true
72,0,5,0.0,0.0,0,10,true
73,-9,5,0.0,0.0,0,1,true
74,7,5,0.0,0.0,0,8,true
75,-2,5,0.0,0.0,0,6,true
76,-2,5,0.0,0.0,0,4,true
77,-1,5,0.0,0.0,0,3,true
78,-1,5,0.0,0.0,0,2,true
79,4,5,0.0,0.0,0,6,true
80,4,5,0.0,0.0,0,10,true
81,0,5,0.0,0.0,0,10,true
82,-6,5,0.0,0.0,0,4,true
83,4,5,0.0,0.0,0,8,true
84,-7,5,0.0,0.0,0,1,true
85,0,4,0.0,0.0,0,1,true
86,4,5,0.0,0.0,0,5,true
87,1,5,0.0,0.0,0,6,true
88,-2,5,0.0,0.0,0,4,true
89,2,5,0.0,0.0,0,6,true
90,-3,5,0.0,0.0,0,3,true
91,3,5,0.0,0.0,0,6,true
92,-1,5,0.0,0.0,0,5,true
93,-1,5,0.0,0.0,0,4,true
94,0,5,0.0,0.0,0,4,true
95,-2,5,0.0,0.0,0,2,true
96,2,5,0.0,0.0,0,4,true
97,2,5,0.0,0.0,0,6,true
98,3,5,0.0,0.0,0,9,true
99,-8,5,0.0,0.0,0,1,true
100,9,4,0.0,0.0,0,10,true
101,-5,5,0.0,0.0,0,5,true
102,-4,5,0.0,0.0,0,1,true
103,4,4,0.0,0.0,0,5,true
104,2,5,0.0,0.0,0,7,true
105,-1,5,0.0,0.0,0,6,true
106,-4,5,0.0,0.0,0,2,true
107,-1,5,0.0,0.0,0,1,true
108,1,5,0.0,0.0,0,2,true
109,2,5,0.0,0.0,0,4,true
110,-3,5,0.0,0.0,0,1,true
111,0,5,0.0,0.0,0,1,true
112,5,5,0.0,0.0,0,6,true
113,-2,5,0.0,0.0,0,4,true
114,-2,5,0.0,0.0,0,2,true
115,8,5,0.0,0.0,0,10,true
116,-3,5,0.0,0.0,0,7,true
117,-1,5,0.0,0.0,0,6,true
118,-2,5,0.0,0.0,0,4,true
119,-3,5,0.0,0.0,0,1,true
120,9,5,0.0,0.0,0,10,true
121,-1,5,0.0,0.0,0,9,true
122,0,5,0.0,0.0,0,9,true
123,-5,5,0.0,0.0,0,4,true
124,4,5,0.0,0.0,0,8,true
125,-7,5,0.0,0.0,0,1,true
126,7,5,0.0,0.0,0,8,true
127,2,5,0.0,0.0,0,10,true
128,-8,5,0.0,0.0,0,2,true
129,7,5,0.0,0.0,0,9,true
130,-3,5,0.0,0.0,0,6,true
131,2,5,0.0,0.0,0,8,true
132,-1,5,0.0,0.0,0,7,true
133,2,4,0.0,0.0,0,9,true
134,-7,5,0.0,0.0,0,2,true
135,0,5,0.0,0.0,0,2,true
136,0,5,0.0,0.0,0,2,true
137,7,5,0.0,0.0,0,9,true
138,1,5,0.0,0.0,0,10,true
139,-9,5,0.0,0.0,0,1,true
140,2,5,0.0,0.0,0,3,true
141,7,5,0.0,0.0,0,10,true
142,-5,5,0.0,0.0,0,5,true
143,-4,5,0.0,0.0,0,1,true
144,2,5,0.0,0.0,0,3,true
145,1,5,0.0,0.0,0,4,true
146,3,5,0.0,0.0,0,7,true
147,-5,5,0.0,0.0,0,2,true
148,0,5,0.0,0.0,0,2,true
149,4,5,0.0,0.0,0,6,true
150,1,5,0.0,0.0,0,7,true
151,1,5,0.0,0.0,0,8,true
152,2,5,0.0,0.0,0,10,true
