Report Name,Tiannara 12-World Health Calibration Epoch (10D Capability Lattice)
Generated At,2026-05-26T00:04:20.632603

World ID,Status,Bias,Generation,Entropy,Coherence,Semantic Diversity,Attractor Convergence,Stabilizer Overreach,MSG Pressure,Engineering,Computation,Medicine,Agriculture,Energy,Logistics,Governance,Science,Cognition,Finance,Niche Diversity Index H(N)
world_1,operational,robotics_embodiment,200,0.65,0.72,0.78,0.32,0.22,0.28,0.879,0.601,0.473,0.559,0.415,0.631,0.767,0.689,0.547,0.383,0.987
world_2,operational,organic_biosynthesis,200,0.66,0.715,0.782,0.31,0.23,0.28,0.883,0.609,0.486,0.575,0.421,0.651,0.79,0.717,0.582,0.42,0.988
world_3,operational,thermodynamic_entropy,200,0.67,0.71,0.784,0.3,0.24,0.28,0.886,0.618,0.499,0.59,0.427,0.672,0.263,0.744,0.617,0.457,0.981
world_4,operational,algorithmic_governance,200,0.68,0.705,0.786,0.29,0.25,0.28,0.89,0.626,0.513,0.606,0.433,0.692,0.285,0.772,0.651,0.495,0.983
world_5,operational,cognitive_symbiosis,200,0.69,0.7,0.788,0.28,0.26,0.28,0.893,0.635,0.526,0.621,0.439,0.713,0.308,0.799,0.686,0.532,0.984
world_6,operational,swarm_coordination,200,0.7,0.695,0.79,0.27,0.27,0.28,0.897,0.643,0.539,0.637,0.445,0.733,0.331,0.827,0.721,0.569,0.985
world_7,operational,quantum_information,200,0.71,0.69,0.792,0.26,0.28,0.28,0.451,0.651,0.552,0.653,0.451,0.753,0.354,0.855,0.756,0.606,0.986
world_8,operational,ecological_regeneration,200,0.72,0.685,0.794,0.25,0.29,0.28,0.454,0.66,0.565,0.668,0.457,0.774,0.377,0.882,0.791,0.643,0.986
world_9,operational,astro_logistics,200,0.73,0.68,0.796,0.24,0.3,0.28,0.458,0.668,0.579,0.684,0.463,0.794,0.399,0.41,0.825,0.681,0.986
world_10,stagnant,epistemic_validation,200,0.74,0.675,0.798,0.23,0.31,0.28,0.461,0.677,0.592,0.699,0.469,0.815,0.422,0.437,0.86,0.718,0.986
world_11,operational,metabolic_efficiency,200,0.75,0.67,0.8,0.22,0.32,0.28,0.465,0.685,0.605,0.715,0.475,0.835,0.445,0.465,0.895,0.755,0.986
world_12,operational,temporal_coherence,200,0.76,0.665,0.802,0.21,0.33,0.28,0.469,0.693,0.618,0.731,0.481,0.855,0.468,0.493,0.93,0.792,0.986
