record_id,metric_type,value,timestamp,domain,session_id,confidence,sample_size
TEL_3e2d806ceff7,epistemic_recovery,0.2,1778861258.2302337,,ANOMALY_TEST,0.9,1
TEL_aa31adece94e,epistemic_recovery,0.77,1778861258.195821,,ANOMALY_TEST,0.9,1
TEL_d1f082bd61ea,epistemic_recovery,0.76,1778861258.159526,,ANOMALY_TEST,0.9,1
TEL_b3169e603d26,epistemic_recovery,0.75,1778861258.1222212,,ANOMALY_TEST,0.9,1
TEL_8c538ba68e1f,epistemic_recovery,0.74,1778861258.088306,,ANOMALY_TEST,0.9,1
TEL_7fc8bfc6f759,epistemic_recovery,0.73,1778861258.0588386,,ANOMALY_TEST,0.9,1
TEL_299408120ef0,epistemic_recovery,0.77,1778861258.0292416,,ANOMALY_TEST,0.9,1
TEL_91a6a79b00c2,epistemic_recovery,0.76,1778861257.9993024,,ANOMALY_TEST,0.9,1
TEL_bb26eaff88d4,epistemic_recovery,0.75,1778861257.9659507,,ANOMALY_TEST,0.9,1
TEL_e3ee5863ed8f,epistemic_recovery,0.74,1778861257.9355981,,ANOMALY_TEST,0.9,1
TEL_5d37fcf9a977,epistemic_recovery,0.73,1778861257.9055927,,ANOMALY_TEST,0.9,1
TEL_ce32034d137c,epistemic_recovery,0.77,1778861257.8769686,,ANOMALY_TEST,0.9,1
TEL_46fe5c2d08dc,epistemic_recovery,0.76,1778861257.8443944,,ANOMALY_TEST,0.9,1
TEL_9953f33e1a43,epistemic_recovery,0.75,1778861257.8103447,,ANOMALY_TEST,0.9,1
TEL_ef2dc98d42ba,epistemic_recovery,0.74,1778861257.763661,,ANOMALY_TEST,0.9,1
TEL_19e7e485dabb,epistemic_recovery,0.73,1778861257.7285583,,ANOMALY_TEST,0.9,1
TEL_51dc66cfd955,epistemic_recovery,0.77,1778861257.6918528,,ANOMALY_TEST,0.9,1
TEL_55d6b322bcca,epistemic_recovery,0.76,1778861257.6595368,,ANOMALY_TEST,0.9,1
TEL_af2638437c69,epistemic_recovery,0.75,1778861257.6300776,,ANOMALY_TEST,0.9,1
TEL_6c774f63b63c,epistemic_recovery,0.74,1778861257.5987556,,ANOMALY_TEST,0.9,1
TEL_614e734592ae,epistemic_recovery,0.73,1778861257.5607672,,ANOMALY_TEST,0.9,1
TEL_b4158c952af1,epistemic_recovery,0.77,1778861257.5268254,,ANOMALY_TEST,0.9,1
TEL_ea0e7c3759b1,epistemic_recovery,0.76,1778861257.4831293,,ANOMALY_TEST,0.9,1
TEL_326d328e6abd,epistemic_recovery,0.75,1778861257.4487617,,ANOMALY_TEST,0.9,1
TEL_1b85ba65ba97,epistemic_recovery,0.74,1778861257.3936532,,ANOMALY_TEST,0.9,1
TEL_68df4ee63e9c,epistemic_recovery,0.73,1778861257.3555806,,ANOMALY_TEST,0.9,1
TEL_5806d560d9b5,epistemic_recovery,0.77,1778861257.3107646,,ANOMALY_TEST,0.9,1
TEL_d26284f05c1f,epistemic_recovery,0.76,1778861257.2806423,,ANOMALY_TEST,0.9,1
TEL_94d3e3dda1b5,epistemic_recovery,0.75,1778861257.2462008,,ANOMALY_TEST,0.9,1
TEL_d79affdf6e7d,epistemic_recovery,0.74,1778861257.2150688,,ANOMALY_TEST,0.9,1
TEL_3aa1ac34be53,epistemic_recovery,0.73,1778861257.175563,,ANOMALY_TEST,0.9,1
TEL_11e5a2036256,epistemic_recovery,0.77,1778861257.14415,,ANOMALY_TEST,0.9,1
TEL_f211cd509590,epistemic_recovery,0.76,1778861257.1121087,,ANOMALY_TEST,0.9,1
TEL_7014f8283c67,epistemic_recovery,0.75,1778861256.975388,,ANOMALY_TEST,0.9,1
TEL_1db4dde4efdc,epistemic_recovery,0.74,1778861256.9439173,,ANOMALY_TEST,0.9,1
TEL_7175e82e35c1,epistemic_recovery,0.73,1778861256.911672,,ANOMALY_TEST,0.9,1
TEL_9149f4c4d06d,epistemic_recovery,0.77,1778861256.8794873,,ANOMALY_TEST,0.9,1
TEL_7bce258b2b46,epistemic_recovery,0.76,1778861256.7987072,,ANOMALY_TEST,0.9,1
TEL_fb7eabb06584,epistemic_recovery,0.75,1778861256.7150643,,ANOMALY_TEST,0.9,1
TEL_37e9816ec009,epistemic_recovery,0.74,1778861256.6329055,,ANOMALY_TEST,0.9,1
TEL_5f568e81e987,epistemic_recovery,0.73,1778861256.6066582,,ANOMALY_TEST,0.9,1
TEL_0199aceb9250,epistemic_recovery,0.77,1778861256.5728486,,ANOMALY_TEST,0.9,1
TEL_867b6da20d54,epistemic_recovery,0.76,1778861256.5338585,,ANOMALY_TEST,0.9,1
TEL_3464873060cb,epistemic_recovery,0.75,1778861256.507842,,ANOMALY_TEST,0.9,1
TEL_25c9d0161623,epistemic_recovery,0.74,1778861256.4760797,,ANOMALY_TEST,0.9,1
TEL_b63b2eb8cd5f,epistemic_recovery,0.73,1778861256.4491863,,ANOMALY_TEST,0.9,1
TEL_ffe7387f5551,epistemic_recovery,0.77,1778861256.4282105,,ANOMALY_TEST,0.9,1
TEL_cd3a6bded855,epistemic_recovery,0.76,1778861256.393816,,ANOMALY_TEST,0.9,1
TEL_870a97a02cef,epistemic_recovery,0.75,1778861256.359379,,ANOMALY_TEST,0.9,1
TEL_bfb66a22b1b6,epistemic_recovery,0.74,1778861256.3129075,,ANOMALY_TEST,0.9,1
TEL_396305e96f39,epistemic_recovery,0.73,1778861256.2822537,,ANOMALY_TEST,0.9,1
TEL_071ec5c065b2,causal_consistency,0.78,1778861256.233519,reasoning,TEST_SESSION_001,0.9,1
TEL_f94b69298a6a,communication_entropy,0.65,1778861256.2080052,multi-agent,TEST_SESSION_001,0.9,1
TEL_b4c580bb35eb,confidence_calibration,0.92,1778861256.1782267,,TEST_SESSION_001,0.9,1
TEL_ec28fa1193bc,confidence_calibration,0.88,1778861256.145691,,TEST_SESSION_001,0.9,1
TEL_8f162856d8a1,confidence_calibration,0.9,1778861256.1107755,,TEST_SESSION_001,0.9,1
TEL_d6be6aebb2c7,synthesis_convergence,0.82,1778861256.0797198,ml,TEST_SESSION_001,0.9,1
TEL_c15dc08aa07d,synthesis_convergence,0.85,1778861256.048213,ml,TEST_SESSION_001,0.9,1
TEL_81d1cc54995d,contradiction_density,0.12,1778861255.9848373,economics,TEST_SESSION_001,0.9,1
TEL_eff0fa1e5b48,contradiction_density,0.18,1778861255.9298458,physics,TEST_SESSION_001,0.9,1
TEL_3f3c00142862,contradiction_density,0.15,1778861255.8995652,physics,TEST_SESSION_001,0.9,1
