epoch,system_memory_kb,tick_time_ms,gc_time_us,archaeology_memory_kb,archaeology_heap,causal_graph_memory_kb,causal_graph_heap
100,85351,1330.79,0,21919,2805586,4610,589989
200,93002,344.58,0,21919,2805586,7458,954572
300,89005,849.61,0,16194,2072833,4610,589991
400,93624,710.45,0,16194,2072833,4610,589977
500,104098,579.17,0,21919,2805586,4610,589997
600,108681,913.92,0,21919,2805586,4609,589965
700,110461,775.48,0,16194,2072833,7458,954588
800,115117,1036.18,0,16194,2072833,7458,954596
900,122642,388.5,0,21919,2805586,4610,589985
1000,127290,498.18,0,21919,2805586,4609,589951
